case_index,case_name,category,prediction,instruction_following_score,visual_quality_score,instruction_following_reason,visual_quality_reason,judge_model,judge_time_seconds,errors
2,Case 2: Fix Misspellings,Content,/root/PPTArena/agent_bench/predictions/codex_gpt55/case_002.pptx,3.00,5.00,"The prediction correctly identified and fixed all the spelling errors (Buisneses→Businesses, suceses→successes, porgrams→programs, saftey→safety, hazaards→hazards, sustainablity→sustainability, enerjize→energize, valuble→valuable, encuraged→encouraged, communicat→communicate, onhoing→ongoing, sourcea→sources, ilneses→illnesses, Cusromize→Customize, preswntation→presentation), but it broke the text into multiple separate runs with None values for font properties, failing to preserve the original text formatting as required by the style target—specifically on Slide 1, the 'Businesses' run has font_size: None while the ground truth maintained consistent formatting, and throughout other slides the fragmented runs with missing font properties indicate formatting was not preserved.","All spelling corrections were applied correctly across slides (Buisneses→Businesses, suceses→successes, porgrams→programs, saftey→safety, hazaards→hazards, sustainablity→sustainability, enerjize→energize) with original formatting, fonts, colors, and layout preserved perfectly; no unintended visual changes are visible in any of the 5 slides.",kimi-k2.6 (median of 3),293.018,
3,Case 3: Add Footer Text Box,"Content, Layout",/root/PPTArena/agent_bench/predictions/codex_gpt55/case_003.pptx,4.00,4.00,"The prediction added the correct text 'Source: www.VerifyMe.com' to slide 5 in the footer area, satisfying the core instruction; however, the citation is positioned at left=82.95 rather than the ground truth's left=36.0, placing it more center-bottom rather than bottom-left where it should slightly overlap the corner logo, and the prediction unnecessarily added specific formatting (color_rgb, font_size, font_name) and changed the type from BACKGROUND to None, though these styling differences don't substantially affect the semantic outcome.","The source citation 'Source: www.VerifyMe.com' is correctly added at the bottom of the slide in the footer area, but it is positioned slightly to the left (near the logo icon) compared to the ground truth where it is more centered; all other slide elements remain unchanged.",kimi-k2.6 (median of 3),448.180,
8,Case 8: Summarize Paragraphs,Content,/root/PPTArena/agent_bench/predictions/codex_gpt55/case_008.pptx,4.00,5.00,"The prediction successfully summarized the large text blocks on slides 2-9 into single concise paragraphs that accurately reflect key points, matching the semantic intent of the instruction; however, it inconsistently retained original font sizes (20.0-24.0) on slides 4-9 where the ground truth removed inline styling (None), and left extra empty paragraphs on slides 2, 3, and 6 that should have been cleaned up.","Slide 1 is preserved exactly with no changes; slides 2-9 consistently replace large text blocks with single concise summary paragraphs while maintaining the same template, fonts, colors, logos, and layout with no unintended modifications to non-requested content.",kimi-k2.6 (median of 3),57.588,
1,Case 1: Translate to English But Keep French,Content,/root/PPTArena/agent_bench/predictions/codex_gpt55/case_001.pptx,1.00,0.00,"The prediction catastrophically failed to follow the instruction: it corrupted French text throughout (Slides 1-2, 10, 13-16 show fragmented/misordered French words), made incorrect translations (Slide 4: 'food, groceries' instead of 'meal, a diet'; Slide 5: 'dining room' instead of 'cooking'; Slide 10: 'in a cafe' instead of 'in the cafe'), lost font formatting (Slide 8 lost Times New Roman on translations), and destroyed text structure with broken runs and misaligned content, while only partially completing some Kazakh-to-English translations on slides 6, 8, 12, and 17.",No visual reasoning returned.,kimi-k2.6 (median of 3),646.660,
5,Case 5: Change Body Text Font to Arial,"Content, Styling",/root/PPTArena/agent_bench/predictions/codex_gpt55/case_005.pptx,1.00,5.00,"The prediction failed to change fonts to Arial on multiple body text elements across slides 1 and 6 (showing 'None' instead of 'Arial'), incorrectly changed the title font on slide 20 from '+mj-lt' to 'Arial' (violating the exclusion for main titles), and introduced various layout shifts and formatting changes (column widths, heights, positions, line spacing) that were not requested and in some cases reverted to initial values rather than preserving properties as required.","The Prediction slides are visually identical to the Ground Truth across all provided slides (6, 10, 14, 18, 19, 20), with no detectable differences in fonts, sizes, colors, positions, or layout; all body text appears to have been changed to Arial while titles and the 'Thank you' text retain their original fonts, and no elements overlap or are pushed off-slide.",kimi-k2.6 (median of 3),652.747,
6,Case 6: Update Quarter Two Data (A),Content,/root/PPTArena/agent_bench/predictions/codex_gpt55/case_006.pptx,1.00,1.00,"The prediction failed to properly execute the instruction on multiple critical dimensions: on slides 6-9 and 17, the text 'Second Quarter' was placed on a single line with an extremely small 14pt font instead of being stacked as two lines with 28pt font, and the shapes were not resized or repositioned appropriately (remaining at initial positions with initial heights); on slide 5, the font size was reduced to 16pt instead of 32pt and the shape was not properly widened to accommodate the text; on slide 12, the font size was left at 36pt instead of reduced to 32pt and the shape was not resized or repositioned at all from its initial state; on slide 17, the font size was left at 24pt instead of reduced to 16pt. The prediction largely preserved initial positions and sizes rather than properly resizing and repositioning shapes to fit the longer text, resulting in text that would be cut off or unreadable, and failed to match the stacked label style used for Q1/Q3 labels throughout the deck.","The 'Q2' to 'Second Quarter' replacement on slide 5 is correctly implemented with proper text visibility and no overlap, but the font size appears slightly smaller and lighter in weight compared to the ground truth's bolder, more prominent 'Second Quarter' label, and the positioning is slightly higher with less visual balance relative to the gauge elements. | The prediction shows a severe content mismatch: Ground Truth slides 6-10 are completely different slides (Organisational Performance, Insightful data, Agile operating model, Interconnected statistical system, Transformed capability) than the Prediction slides 6-10 (which appear to be Insightful data, Agile operating model, Interconnected statistical system, Transformed capability, and Financial performance). More critically, on slides 7-10 where 'Second Quarter' text appears, it is placed as a small label overlapping with the central arrow graphics instead of being a prominent header matching the 'Q1' and 'Q3' formatting style as shown in Ground Truth. The 'Second Quarter' text is cramped, poorly positioned, and breaks the visual hierarchy and layout balance that Ground Truth maintains with large bold stacked 'Second Quarter' headers. Additionally, the prediction completely misses slide 6 (Organisational Performance with gauge charts) and instead shows a different slide layout, indicating major structural errors. | The prediction deck shows severe slide misalignment: Prediction slide 11 displays Ground Truth slide 12's content (bar chart with 'Second Quarter'), Prediction slide 12 shows Ground Truth slide 13's content (invoice payments with 'Second Quarter'), Prediction slide 13 is blank matching Ground Truth slide 14, Prediction slide 14 shows Ground Truth slide 15's content (Human Resources pie chart), and Prediction slide 15 shows entirely new content not present in the Ground Truth batch. While the 'Q2' to 'Second Quarter' replacement is correctly implemented where visible, the entire slide sequence is offset by one position with content from slide 11 completely missing and an extraneous slide 15 appearing, indicating a major structural error in the prediction deck assembly.",kimi-k2.6 (median of 3),671.532,
12,Case 12: Stock Photo Cleanup,"Content, Layout",/root/PPTArena/agent_bench/predictions/codex_gpt55/case_012.pptx,2.00,2.00,"The prediction added captions but they are completely mismatched to the wrong images ('Giraffe on the Savanna' instead of 'Giraffes in the wild', 'Monochrome Deer Portrait' instead of 'Football on grass', 'Soccer Ball on Turf' instead of 'Black and white image of deer') and positioned differently than ground_truth, while also failing to achieve the sleek panel gallery layout with images in dramatically different positions/sizes than the intended diagonal/horizontal stack arrangement.","The prediction uses incorrect captions ('Monochrome Deer Portrait', 'Giraffe on the Savanna', 'Soccer Ball on Turf') instead of the required specific captions ('Black and white image of deer', 'Giraffes in the wild', 'Football on grass'), and the layout changes from a diagonal split design to a framed panel gallery with dark background, which significantly alters the visual style and structure.",kimi-k2.6 (median of 3),32.156,
7,Case 7: Update Quarter Two Data (B),Content,/root/PPTArena/agent_bench/predictions/codex_gpt55/case_007.pptx,2.00,2.00,"The prediction partially replaced 'Q2' with 'Second Quarter' but incorrectly capitalized it mid-sentence ('Second Quarter' instead of 'second quarter' in body text), failed to change the title font size to 32pt on slide 9, and critically, on slide 9 it swapped the positions and identities of multiple text boxes (Title 1, TextBox 20, TextBox 21, TextBox 37) causing content like '$840M*', 'Three Months Ending June 30', and 'Primary Variances' to appear in wrong locations, while also failing to properly un-bold text below charts on slides 6 and 7 as required.","The prediction shows a duplicated replacement on slide 5 where 'Q2' became 'Second Quarter (Second Quarter)' instead of just 'Second Quarter', and the title font size appears unchanged from the original rather than set to 32pt; additionally, slides 6, 7, and 9 are not present in this batch so those required formatting changes cannot be verified. | The prediction correctly replaces 'Q2' with 'Second Quarter' throughout and preserves most formatting, but has critical errors: slide 6 is missing entirely (replaced by slide 7 content), slide 9's title font size was not changed to 32pt (appears same size as ground truth), and the legend positioning on slides 7 and 8 is slightly compressed compared to ground truth; additionally, prediction slide 12 is completely blank while ground truth shows 'Bonds & Other Obligations' content.",kimi-k2.6 (median of 3),359.842,
9,Case 9: Shorten Bullet Points,Content,/root/PPTArena/agent_bench/predictions/codex_gpt55/case_009.pptx,4.00,4.00,"The prediction successfully shortened text on all required slides (4, 5, 7-10) while preserving core meaning, but made several notable deviations from optimal execution: on slide 8 it incorrectly shortened the third bullet about training by dropping 'Project ECHO learning labs' to just 'Project ECHO labs' and altered 'MAT waiver training' to 'MAT waivers'; on slide 9 it added unnecessary parenthetical detail '(separate cooperative agreement)' that the ground truth omitted; on slide 10 it expanded rather than shortened the mini-grants bullet; and it retained original font sizes/colors that the ground truth dropped, though per instructions this should not be penalized. The prediction generally followed the conciseness directive but showed imperfect judgment about which details to preserve versus cut.","The prediction successfully shortens text on all required slides while preserving core meaning and maintaining proper formatting, but shows minor unintended differences including: on slide 4 the first bullet is longer than ground truth and uses 'FY 2018 appropriations' instead of 'CDC funding'; on slide 5 the introductory text is slightly longer; on slides 8 and 9 some bullets were shortened more aggressively than ground truth (which left some longer); on slide 10 the main bullet and sub-bullet are noticeably longer than ground truth's concise versions; and the prediction text appears in black rather than the gray default seen in ground truth (though this is noted as acceptable).",kimi-k2.6 (median of 3),128.885,
10,Case 10: Italicize Subheadings (A),"Content, Styling",/root/PPTArena/agent_bench/predictions/codex_gpt55/case_010.pptx,2.00,4.00,"The prediction shows severe misapplication of italicization: it failed to italicize text in multiple Rectangle content boxes on slides 10-17, 45-50, and 55 (where ground truth has True but prediction shows None), while incorrectly italicizing table text on slides 24, 27, 31, 33, 35, 38-39, 53, 60, and 64 (where ground truth preserves False/non-italic for tables), and also incorrectly italicizing Content Placeholder text on slides 18, 20, 41, 57-58, and 62 that should remain non-italic per ground truth. The instruction specifically targeted 'main content boxes' but the prediction both missed actual content boxes and wrongly applied italicization to tables and other elements, indicating fundamental misunderstanding of which elements constitute 'main content boxes'.","The prediction correctly italicizes main content text across all 65 slides while preserving slide titles unchanged, matching the ground truth's semantic intent; however, there are minor visual differences including slightly altered font weights/sizes in some slides (e.g., slide 1 title appears slightly larger/heavier) and subtle spacing variations in content boxes, which prevent a perfect 5 score.",kimi-k2.6 (median of 3),268.283,
