case_index,case_name,category,prediction,instruction_following_score,visual_quality_score,instruction_following_reason,visual_quality_reason,judge_model,judge_time_seconds,errors
4,Case 4: Increase Font Size on Slide 8,"Content, Styling",/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_004.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
2,Case 2: Fix Misspellings,Content,/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_002.pptx,5.00,0.00,"The prediction correctly identified and fixed all spelling errors specified in the instruction across all slides (Buisneses→Businesses, suceses→successes, porgrams→programs, saftey→safety, hazaards→hazards, sustainablity→sustainability, enerjize→energize, valuble→valuable, encuraged→encouraged, communicat→communicate, onhoing→ongoing, sourcea→sources, ilneses→illnesses, Cusromize→Customize, preswntation→presentation), with only minor run-level formatting differences that don't affect the semantic outcome or text content.","All spelling errors have been correctly corrected across all slides ('Buisneses'→'Businesses', 'suceses'→'successes', 'porgrams'→'programs', 'saftey'→'safety', 'hazaards'→'hazards', 'sustainablity'→'sustainability', 'enerjize'→'energize'), with original formatting, layouts, colors, fonts, and element positions preserved exactly; no unintended visual changes are present. | The prediction slides are completely misaligned with the ground truth slides: Prediction slide 6 shows 'Worker Participation' instead of 'Management Leadership', prediction slide 7 shows 'Find and Fix Hazards' instead of 'Worker Participation', and prediction slide 8 shows 'Customize the rest of this presentation to...' instead of 'Find and Fix Hazards', indicating the entire slide deck was reordered rather than just proofread for spelling errors as instructed.",kimi-k2.6 (median of 3),263.869,
7,Case 7: Update Quarter Two Data (B),Content,/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_007.pptx,1.00,2.00,"The prediction failed on all three main requirements: (1) Multiple instances of 'Q2' were NOT replaced with 'Second Quarter'—notably on Slide 5's table header (4 instances) and chart names on Slides 7-8; (2) The Slide 9 title font size was NOT changed to 32pt (remained at 22.0); and (3) While some un-bolding occurred, the prediction introduced severe structural corruption on Slide 9 where text boxes were swapped/misplaced (e.g., '$840M*' and 'Three Months Ending June 30' exchanged positions, 'Primary Variances' text relocated), making the slide content semantically wrong.","Slide 5 has a major error where the title incorrectly reads 'Second Quarter (Second Quarter)' with overlapping text from a failed replacement, and the subtitle still contains 'Q2' instead of 'Second Quarter'; additionally, slides 1-2 appear swapped in order compared to Ground Truth, with Prediction slide 1 matching Ground Truth slide 2 and Prediction slide 2 matching Ground Truth slide 1. | Multiple critical errors: Prediction slide 6 shows the wrong slide content (revenues chart instead of NOI table), Prediction slide 12 is completely blank missing all content, and throughout the prediction deck 'Q2' was replaced with 'Second Quarter' but then reverted back to 'Q2' in chart legends (slides 7-8 show 'Q2 YOY Var' instead of 'Second Quarter YOY Var'), while slide 9 incorrectly capitalizes 'Second Quarter' mid-sentence and shows overlapping garbled legend text at the bottom.",kimi-k2.6 (median of 3),430.519,
3,Case 3: Add Footer Text Box,"Content, Layout",/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_003.pptx,5.00,1.00,"The prediction successfully added the source citation 'Source: www.VerifyMe.com' on slide 5 in the footer area; the only differences are minor dimensional/positional variations (width 196.85 vs 888, height 19.69 vs 18, left position 82.95 vs 36) that represent a more compact text box positioned slightly right of the ground truth's left edge, but the citation is still clearly at the bottom of the slide, easily readable, and fulfills the semantic intent of adding a footer citation without affecting other elements.","The prediction correctly adds 'Source: www.VerifyMe.com' at the bottom of slide 5 in the footer area below the main content and horizontal line, with appropriate font size and no overlap with main content; however, the text is centered rather than left-aligned as in the ground truth, and the prediction slide 5 shows a completely different slide ('Strategic Snapshot') compared to the ground truth slide 5 ('Welcome'), which indicates the model operated on the wrong slide content, though the instruction specifically targeted 'slide 5' and the citation was successfully added there. | The prediction correctly adds 'Source: www.VerifyMe.com' at the bottom of slide 5 (labeled as slide 6 in the batch) in the footer area below the horizontal line, matching the ground truth placement and styling; all other slide elements remain unchanged with no unintended modifications to fonts, colors, positions, or structure across all compared slides. | The prediction shows a severe slide ordering error: Ground Truth slide 11 (Appendix) is completely missing from the prediction, with the prediction instead showing the Non-GAAP Reconciliation text slide as slide 11, the financial table as slide 12, and introducing an entirely new slide 13 (VerifyMe contact page) that doesn't exist in the ground truth; this represents major structural deviation with unintended content changes across the deck.",kimi-k2.6 (median of 3),450.383,
10,Case 10: Italicize Subheadings (A),"Content, Styling",/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_010.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
8,Case 8: Summarize Paragraphs,Content,/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_008.pptx,4.00,2.00,"The prediction successfully summarized the large text blocks on slides 2-9 into single concise paragraphs that accurately reflect the key points of the original text, matching the semantic intent of the instruction; however, the prediction's summaries differ in specific wording and some details from the ground truth (e.g., on slide 2 omitting 'around 150 viruses from 26 families' and 'future discussions will cover priority pathogens,' on slide 5 adding more technical detail about CRISPR and SCID mice than the ground truth, and on slide 9 changing 'global agreement for future pandemic protection' to 'negotiating a global agreement on pandemic preparedness'), though these are minor semantic variations that don't substantially alter meaning.","The Prediction slides 2-5 successfully replace large text blocks with concise single-paragraph summaries while preserving titles, slide numbers, logos, and overall theme; however, the summary text in Prediction slides 2-5 appears slightly larger and positioned marginally lower than Ground Truth, and Prediction slide 1 shows minor font weight differences in the subtitle text compared to Ground Truth slide 2. | The prediction slides show a significant content misalignment: Prediction slide 6 has the title 'Summary (basic research, organ on chip)' which matches Ground Truth slide 7, not slide 6; Prediction slide 7 matches Ground Truth slide 8; Prediction slide 8 matches Ground Truth slide 9; and Prediction slide 9 introduces entirely new content ('Summary (WHO response)') not present in any provided Ground Truth. This indicates the prediction deck has shifted content across slides and added extraneous material, violating the instruction to preserve non-requested content like slide titles and structure. Additionally, the prediction for what should be slide 6 (animal models) is completely missing, and the numbering/title correspondence is broken throughout.",kimi-k2.6 (median of 3),325.544,
6,Case 6: Update Quarter Two Data (A),Content,/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_006.pptx,2.00,1.00,"The prediction changed 'Q2' to 'Second Quarter' but failed to resize/reposition shapes to fit the longer text, leaving them at original narrow widths (52.66-68.54 vs ground truth's 155.2-331.6) and original positions, causing text to be cut off or overflow; it also kept original font sizes (36pt/24pt) instead of reducing them (32pt/28pt/16pt), failed to stack 'Second'/'Quarter' as two lines on slides 6-9 and 17 as ground truth did, and missed repositioning adjacent elements like Rectangle 97 on slide 17 to avoid overlap.","On slide 5, the 'Q2' replacement text 'Second Quarter' is severely broken and unreadable — the letters are scattered vertically as 'Se', 'co', 'nd', 'Qu', 'art', 'er' with overlapping elements, the percentage symbol is mispositioned, and the layout is completely disrupted compared to the clean circular gauge format in the ground truth. | The prediction fails catastrophically on slides 7-10: the 'Second Quarter' text is massively oversized, overlapping with the gray arrow shapes and bullet point text, making content unreadable and breaking layout; slide 6 is missing entirely from the prediction batch (replaced by slide 7's content), and slide 10 shows completely wrong content ('Financial performance' instead of 'Transformed capability'). | Critical failure on slide 11 (bar chart): the x-axis category label still shows 'Q2' instead of 'Second Quarter', directly violating the core instruction; slides 12 and 13 correctly replace 'Q2' with 'Second Quarter' with proper styling, but the prediction for slide 15 shows completely different content ('Employment equity profile' with percentage bars) versus the ground truth slide 15 ('Filled posts by gender' with pie chart and table), indicating a severe slide content mismatch or misalignment in the prediction sequence.",kimi-k2.6 (median of 3),620.496,
12,Case 12: Stock Photo Cleanup,"Content, Layout",/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_012.pptx,1.00,2.00,"The prediction completely failed on the core instruction: all three captions are factually wrong (deer described as 'A pair of deer in a grassy meadow' instead of 'Black and white image of deer', giraffe as 'A giraffe grazing in the savanna' instead of 'Giraffes in the wild', football as 'A soccer ball resting on the field' instead of 'Football on grass'), and the layout is a uniform horizontal row rather than a sleek panel gallery with varied positioning as ground_truth demonstrates; while text boxes were added and images were resized, the semantic content and layout intent are substantially incorrect.","The prediction uses completely different captions than required ('A pair of deer in a grassy meadow', 'A giraffe grazing in the savanna', 'A soccer ball resting on the field' instead of 'Black and white image of deer', 'Giraffes in the wild', 'Football on grass'), uses a plain horizontal grid layout instead of the sleek diagonal panel design with overlapping angled sections, and places captions below images rather than overlaid on negative space within the images.",kimi-k2.6 (median of 3),33.391,
9,Case 9: Shorten Bullet Points,Content,/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_009.pptx,2.00,2.00,"The prediction failed to shorten text on multiple critical slides: Slide 4 left the first paragraph completely unedited (identical to initial) and only partially shortened the second; Slide 5 made only a minimal cut to the intro sentence while leaving the rest intact; Slide 7 made only minor trims without achieving the ~10-word target; and while Slides 8-10 showed better conciseness effort, the overall result misses the instruction's core requirement of noticeably shorter text across all specified slides, with many points remaining near-original length rather than being condensed to around 10 words.","The prediction fails to follow the instruction on multiple slides: Slide 4 (PREDICTION_SLIDE_4) contains three long, unedited paragraphs instead of the two concise bullet points shown in the ground truth; Slide 5 (PREDICTION_SLIDE_5) shows completely different content ('Domains & Centers') rather than the shortened 'CDC Opioid Crisis Response Cooperative Agreement' content with concise bullet points about CDC funding and the one-year budget period. Slides 1-3 correctly match their ground truth counterparts, but the critical slides 4 and 5 that should have been edited for conciseness are either unedited with wrong content or entirely wrong slides, representing major deviations from the required task. | The prediction shows a slide order mismatch: Prediction slide 6 shows Budget Summary (Ground Truth slide 7), Prediction slide 7 shows Awarded Activities (Ground Truth slide 8), and so on, with the Prediction slide 10 showing 'Peer Recovery' which doesn't match Ground Truth slide 10's content; however, the actual edited content on the affected slides appears correctly shortened with preserved meaning, and the visual formatting (fonts, colors, layout) is consistent with the ground truth style.",kimi-k2.6 (median of 3),236.639,
5,Case 5: Change Body Text Font to Arial,"Content, Styling",/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_005.pptx,2.00,0.00,"The prediction failed to change fonts to Arial on most body text (Slide 6 shows 52 font_name entries as None instead of Arial), and critically on Slide 20 it incorrectly changed a title element (+mj-lt) to Arial when titles should retain original fonts, while also missing line spacing preservation on Slide 19 and causing layout shifts across multiple slides.","The Prediction slides appear nearly identical to Ground Truth in layout, text content, and structure; however, the instruction requires changing body text font to Arial while preserving title fonts, and since the images show only subtle visual differences that are difficult to definitively attribute to font changes versus rendering variations, with no clear evidence of font alteration visible in the body text (which still appears to match the original sans-serif style), I cannot confirm the core task was successfully executed. | The Prediction slides are visually very close to Ground Truth with only minor font differences in body text; however, there is a slide misalignment where Prediction slide 6 shows Ground Truth slide 7's table content, Prediction slide 7 shows Ground Truth slide 8's content, etc., with Prediction slide 10 being a new slide not in the Ground Truth sequence, indicating the prediction batch has a shifted slide order rather than matching slide-by-slide. | The Prediction deck has incorrect slide ordering (e.g., PREDICTION_SLIDE_11 shows GT slide 12's content, PREDICTION_SLIDE_12 shows GT slide 13's content, etc.), and PREDICTION_SLIDE_15 contains altered text ('early use' instead of 'use') and incorrect blue highlighting on the final bullet point compared to Ground Truth, indicating content errors beyond just font changes.",kimi-k2.6 (median of 3),691.976,
