case_index,case_name,category,prediction,instruction_following_score,visual_quality_score,instruction_following_reason,visual_quality_reason,judge_model,judge_time_seconds,errors
6,Case 6: Update Quarter Two Data (A),Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_006.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
28,Case 28: Fix Slide Order and Agenda,Structure,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_028.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
17,Case 17: Build Ensemble Category Boards,"Layout, Styling",/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_017.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
7,Case 7: Update Quarter Two Data (B),Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_007.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
34,Case 34: Lambda Replacement,Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_034.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
30,Case 30: Convert Text Data to a Line Chart,Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_030.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
35,Case 35: Structural Fix,"Content, Styling",/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_035.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
40,Case 40: Hindu Center Titles,"Content, Layout",/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_040.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
42,Case 42: Organize Research Poster,"Content, Layout",/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_042.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
46,Case 46: Convert Text & Arrows to SmartArt,"Content, Layout",/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_046.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
47,Case 47: Change Line Graph to Bar Graph,Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_047.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
50,Case 50: Normalize Date Format,Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_050.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
53,Case 53: Fill Table from Data,Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_053.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
54,Case 54: Match Slide Deck Theme,Styling,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_054.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
