case_index,case_name,category,prediction,instruction_following_score,visual_quality_score,instruction_following_reason,visual_quality_reason,judge_model,judge_time_seconds,errors
17,Case 17: Build Ensemble Category Boards,"Layout, Styling",/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_017.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
12,Case 12: Stock Photo Cleanup,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_012.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
27,Case 27: Correct Images,Content,/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_027.pptx,5.00,2.00,"The prediction successfully resized all three placeholders to a uniform size and aligned them horizontally; the positional differences (left/top coordinates) relative to the ground truth represent a valid alternative layout (e.g., different starting x-coordinate or vertical offset) that still satisfies the semantic requirement of aligning them horizontally and placing them above their labels.","The images are mismatched with their corresponding text labels (e.g., the baseball image is above the 'SHARK' label), violating the instruction to position each picture directly above its corresponding text.",qwen/qwen3.7-plus (median of 3),21.657,
16,Case 16: Curate Multi-Panel Photo Layout,"Layout, Content",/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_016.pptx,2.00,4.00,"The prediction failed to align the photos' top edges to the same vertical position (all are at ~111pt instead of the required ~135pt) and failed to resize them to the requested ~230pt square size (they are ~252pt), violating the core layout constraints.","The prediction successfully executes the layout changes on Slide 2 (straightening, resizing, and aligning the photos), but it fails to preserve the original Slide 1 by removing the yellow accent line and altering the background gradient to a solid color.",qwen/qwen3.7-plus (median of 3),28.506,
28,Case 28: Fix Slide Order and Agenda,Structure,/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_028.pptx,2.00,4.00,"The prediction incorrectly placed the Agenda slide number as 1 instead of keeping it at the start (or updating based on correct reordering) and failed to update the footer alignment and spacing as seen in the ground truth, while also showing a mismatch in the agenda list content structure compared to the expected logical flow.","The slide order and agenda content are correct, but the date in the footer changed from '07/03/2026' to '07/04/2026' on most slides, representing an unintended modification to non-requested content.",qwen/qwen3.7-plus (median of 3),226.490,
30,Case 30: Convert Text Data to a Line Chart,Content,/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_030.pptx,3.00,0.00,"The prediction correctly created a line chart with markers and a custom legend on slide 8, but it failed to remove the original text box (converting it to a title instead) and the chart data values are imprecise rounded integers rather than the exact percentages found in the source text.","The prediction fails to produce the requested slide 8 with a line chart and custom legend; instead, it outputs a different slide (Figure 5) containing a bar chart about demographic characteristics, completely missing the required visualization. | The prediction correctly converts the data to a line chart with markers and adds a custom legend, but it omits the specific data value labels (percentages) on the chart points that are present in the ground truth, resulting in slightly lower visual fidelity.",qwen/qwen3.7-plus (median of 3),273.326,
7,Case 7: Update Quarter Two Data (B),Content,/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_007.pptx,1.00,1.00,"The prediction failed to replace 'Q2' in multiple locations (Slide 5, 7, 8), incorrectly changed the casing to 'Second Quarter' where 'second quarter' was required, failed to change the Slide 9 title font size to 32pt, and introduced massive structural errors by swapping text content and element identities on Slide 9.","On slide 5, the text replacement resulted in severe overlapping and illegibility, with 'Second Quarter (Second Quarter)' and 'NOI' stacked on top of each other, and the instruction to replace 'all instances' was not fully followed as 'Q2' remains in the chart subtitle. | The prediction fails to replace 'Q2' with 'Second Quarter' in chart legends on slides 7 and 8, contains severe text overlap errors in the x-axis labels of slides 6 and 9, and is missing the content for slide 5 entirely.",qwen/qwen3.7-plus (median of 3),321.232,
42,Case 42: Organize Research Poster,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_042.pptx,2.00,1.00,The prediction fails to correctly group content into the four requested columns; key elements like 'Results' charts and the 'Callout Box' are misplaced or assigned to incorrect columns compared to the ground truth layout.,"The prediction incorrectly assigns content to the wrong columns (e.g., placing the doughnut chart in Abstract and text in Materials) and suffers from severe layout failures with overlapping text boxes and cut-off content in the Conclusion column.",qwen/qwen3.7-plus (median of 3),25.880,
44,Case 44: Match Flag to Text,Content,/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_044.pptx,2.00,4.00,"The prediction failed to create the requested flag-text pairings, kept the bulleted list instead of removing it, and did not produce the organized layout seen in the ground truth.","The prediction correctly pairs all flags with their descriptions and removes the duplicate, but adopts a vertical list layout instead of the Ground Truth's grid, and introduces unintended asterisks to the text items.",qwen/qwen3.7-plus (median of 3),21.383,
46,Case 46: Convert Text & Arrows to SmartArt,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_046.pptx,2.00,0.00,"The prediction failed to perform the primary instruction of converting the diagram into a cohesive, organized structure; instead, it retained scattered individual shapes and erroneously converted the central person icon into a text box containing the word 'YOU', which the instructions explicitly required to be removed.","The prediction contains 0 slides, resulting in a completely blank output that fails to preserve the title, diagram, or any content from the ground truth.",qwen/qwen3.7-plus (median of 3),20.158,
