case_index,case_name,category,prediction,instruction_following_score,visual_quality_score,instruction_following_reason,visual_quality_reason,judge_model,judge_time_seconds,errors
12,Case 12: Stock Photo Cleanup,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_claude37/case_012.pptx,5.00,3.00,"The prediction successfully created a sleek gallery layout and added visible, descriptive captions to each image, achieving the semantic intent of the instruction despite minor stylistic differences (font, color, size) from the ground truth which were not explicitly mandated by the user prompt.","The prediction uses a standard rectangular grid layout instead of the sleek diagonal/angled panel layout seen in the Ground Truth, and the text caption for the giraffe image is significantly fainter and less legible than the bold text in the reference.",qwen/qwen3.7-plus (median of 3),27.334,
16,Case 16: Curate Multi-Panel Photo Layout,"Layout, Content",/root/PPTArena/agent_bench/predictions/cua_claude37/case_016.pptx,2.00,5.00,"The prediction failed to apply the required solid fill to the Slide 2 background (remaining as BACKGROUND type instead of SOLID), and made unauthorized modifications to Slide 1 which was not part of the instruction.","The prediction perfectly executes the requested layout changes on Slide 2 (straightened, aligned, and resized photos) while correctly preserving the original theme colors (teal frames) and Slide 1 content, adhering strictly to the instruction to avoid unintended cosmetic changes.",qwen/qwen3.7-plus (median of 3),24.152,
17,Case 17: Build Ensemble Category Boards,"Layout, Styling",/root/PPTArena/agent_bench/predictions/cua_claude37/case_017.pptx,1.00,1.00,"The prediction fails to implement the core structural requirements: on Slide 2, it does not create the required 'dark card with white outline' containers (converting cards to thin lines and losing image containment), and on Slide 1, the layout does not match the specified asymmetrical collage arrangement.","Slide 1 completely fails to follow instructions by retaining sand/texture photos, duplicating the cheetah image, and omitting the required tiger and lion photos, while Slide 2 incorrectly includes a tiger photo in the landscape gallery.",qwen/qwen3.7-plus (median of 3),33.550,
27,Case 27: Correct Images,Content,/root/PPTArena/agent_bench/predictions/cua_claude37/case_027.pptx,5.00,5.00,Prediction perfectly matches ground truth with no detectable differences.,"The prediction perfectly matches the ground truth, with all three image placeholders resized to identical dimensions, aligned horizontally, and centered directly above their corresponding text labels without any overlapping or layout issues.",qwen/qwen3.7-plus (median of 3),14.079,
28,Case 28: Fix Slide Order and Agenda,Structure,/root/PPTArena/agent_bench/predictions/cua_claude37/case_028.pptx,3.00,4.00,"The prediction reordered the slides and updated the agenda list to match, but failed to correctly update the footer slide numbers (e.g., Slide 1 shows '2' instead of '1'), which was an explicit requirement in the style target rubric for a complete fix.","The presentation order and agenda are correctly updated, but the date in the footer changed from '07/03/2026' to '07/04/2026' across multiple slides, which is an unintended modification to non-requested content.",qwen/qwen3.7-plus (median of 3),218.832,
7,Case 7: Update Quarter Two Data (B),Content,/root/PPTArena/agent_bench/predictions/cua_claude37/case_007.pptx,1.00,1.00,"The model failed to replace 'Q2' on Slide 5 and failed to change the title font size on Slide 9 (remaining at 22pt instead of 32pt), while also causing massive structural corruption by swapping text boxes and content on Slide 9.","The prediction introduces severe unintended changes on the final slide, including a garbled title ('Second Quarter (Second Quarter)'), overlapping text over the 'NOI' graphic, and a failure to replace 'Q2' in the chart subtitle, alongside missing slides required to verify other instructions. | The prediction fails to replace 'Q2' with 'Second Quarter' in the chart legends on slides 7 and 8, and introduces severe text overlapping and formatting errors in the chart footers of slides 6 and 9.",qwen/qwen3.7-plus (median of 3),322.646,
30,Case 30: Convert Text Data to a Line Chart,Content,/root/PPTArena/agent_bench/predictions/cua_claude37/case_030.pptx,3.00,0.00,"The prediction successfully created a line chart with markers and accurate data, but it failed to create a 'custom legend' as requested; instead, it retained the default chart legend and missed the specific structural arrangement (chart on left, custom text/shapes legend on right) shown in the ground truth.","The prediction completely fails to execute the instruction for slide 8 (converting text to a line chart), as the provided deck only contains 5 slides and lacks the target slide entirely. | The prediction slide successfully converts the data to a line chart with markers and places a legend on the right, but it retains the default decimal Y-axis (0-0.2) and gridlines instead of adopting the clean, percentage-labeled style (0-18%) shown in the ground truth.",qwen/qwen3.7-plus (median of 3),255.693,
21,Case 21: Title Case Titles,"Content, Styling",/root/PPTArena/agent_bench/predictions/cua_claude37/case_021.pptx,1.00,1.00,"The prediction failed to apply Title Case capitalization to almost all slide titles, leaving them in lowercase or sentence case instead of the required format.","The model failed to apply Title Case capitalization and instead converted all slide titles to lowercase (e.g., 'data science and informatics', 'who are we?', 'brief history of dsi'), which is a major deviation from the instruction and Ground Truth. | The prediction fails to apply Title Case to the slide titles (e.g., 'workshop Coordination', 'competing data science truths') and introduces significant unintended formatting changes, such as adding underlines and removing bullet points on the final slide. | The model failed to apply Title Case to most slide titles (e.g., 'results of workshops', 'growth of dsi', 'results of growth' are all lowercase) and incorrectly lowercased the acronym 'DSI' in the title on slide 12.",qwen/qwen3.7-plus (median of 3),360.754,
42,Case 42: Organize Research Poster,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_claude37/case_042.pptx,5.00,5.00,"The prediction successfully reorganized the poster into the requested four-column layout with correct headings and content grouping, differing from the ground truth only in negligible container dimensions which do not affect the semantic outcome or readability.","The prediction perfectly matches the ground truth in layout, content, column arrangement, fonts, colors, and positioning of all elements including the header, four columns, charts, and footer logo.",qwen/qwen3.7-plus (median of 3),24.971,
44,Case 44: Match Flag to Text,Content,/root/PPTArena/agent_bench/predictions/cua_claude37/case_044.pptx,2.00,2.00,"The prediction failed to pair the flags with the descriptions, as the four required text boxes describing the regions (Kenya, Nigeria, Zambia, Egypt) are missing from the slide, leaving only the title fragment.","The prediction correctly rearranges the flags and removes the duplicate, but it fails to include the text descriptions for each region, which are a required part of the 'flag-text pairings' specified in the instructions and present in the ground truth.",qwen/qwen3.7-plus (median of 3),19.759,
