case_index,case_name,category,prediction,instruction_following_score,visual_quality_score,instruction_following_reason,visual_quality_reason,judge_model,judge_time_seconds,errors
2,Case 2: Fix Misspellings,Content,/root/PPTArena/agent_bench/predictions/opencode_minimax_m3/case_002.pptx,5.00,0.00,"The prediction correctly identified and fixed all spelling errors throughout the presentation ('Buisneses'→'Businesses', 'suceses'→'successes', 'porgrams'→'programs', 'saftey'→'safety', 'hazaards'→'hazards', 'sustainablity'→'sustainability', 'enerjize'→'energize', 'valuble'→'valuable', 'encuraged'→'encouraged', 'communicat'→'communicate', 'onhoing'→'ongoing', 'sourcea'→'sources', 'ilneses'→'illnesses', 'Cusromize'→'Customize', 'preswntation'→'presentation'), with the only differences being minor run-level formatting variations where font properties show as None rather than inherited values, which does not affect the semantic outcome or visible formatting.","All spelling corrections were properly applied (Businesses, successes, programs, safety, hazards, sustainability, energize) and formatting/layout is preserved, but the slide ordering is altered—Prediction Slide 2 shows Ground Truth Slide 3 content, Prediction Slide 3 shows Ground Truth Slide 4 content, Prediction Slide 4 shows Ground Truth Slide 5 content, and Prediction Slide 5 introduces a new 'Management Leadership' slide not in the Ground Truth sequence, indicating a structural reordering though individual slide visuals are correct. | The prediction slides are completely misaligned with the ground truth slides: Prediction slide 6 shows 'Worker Participation' instead of 'Management Leadership', prediction slide 7 shows 'Find and Fix Hazards' instead of 'Worker Participation', and prediction slide 8 shows a 'Customize' slide not present in the ground truth batch, indicating a severe slide ordering/content mismatch where the model failed to preserve the correct slide structure and content.",kimi-k2.6 (median of 3),276.722,
3,Case 3: Add Footer Text Box,"Content, Layout",/root/PPTArena/agent_bench/predictions/opencode_minimax_m3/case_003.pptx,4.00,1.00,"The prediction added the text 'Source: www.VerifyMe.com' on slide 5, but placed it in the wrong location: it was added to an existing text box 'The challenge……' (modifying that element's properties including color, font, and position) rather than creating a new separate text box in the footer area as required; the prediction's top position of 491.3 is above the ground truth's 504.0 and appears to be within the main content area rather than clearly below the horizontal line in the footer, and the width of 252.0 vs 888.0 suggests the text box was merged with or replaced existing content rather than being a distinct citation element.","The prediction added 'Source: www.VerifyMe.com' on slide 5 but with critical errors: the text is truncated/overlapping with the corner logo (showing only 'ce: www.VerifyMe.com' visible), the 'Source:' prefix was omitted or obscured, and the text placement overlaps with the existing footer logo rather than being clearly positioned as a separate citation; additionally, the prediction shows a completely different slide 5 content ('Strategic Snapshot') compared to the ground truth slide 5 ('Welcome' slide), indicating the model modified the wrong slide or the slide content was changed. | The prediction successfully adds 'Source: www.VerifyMe.com' at the bottom of slide 5 (labeled as slide 6 in the batch) in the footer area below the horizontal line, matching the semantic intent of the ground truth; all other slide elements remain unchanged and the citation is clearly readable with appropriate positioning. | The prediction shows severe slide misalignment: Ground Truth slide 11 (Appendix) appears as Prediction slide 13, Ground Truth slide 12 (Non-GAAP Reconciliation text) appears as Prediction slide 11, and Ground Truth slide 13 (EBITDA table) appears as Prediction slide 12, indicating the model failed to correctly identify and modify slide 5 as instructed and instead rearranged the entire deck order.",kimi-k2.6 (median of 3),485.286,
5,Case 5: Change Body Text Font to Arial,"Content, Styling",/root/PPTArena/agent_bench/predictions/opencode_minimax_m3/case_005.pptx,3.00,0.00,"The prediction failed to change the font to Arial on Slide 20's Content Placeholder 2 (retained '+mj-lt' instead of 'Arial'), and it lost line spacing properties on Slide 19 that were preserved in the ground truth, while also showing multiple position and sizing differences across slides that suggest layout was not fully maintained as required.","The Prediction slides closely match the Ground Truth in layout, structure, and content, with body text appearing to use Arial font as requested; however, the title font on slide 1 appears slightly different (possibly heavier or a different sans-serif weight) compared to Ground Truth slide 1, and the vertical spacing between text blocks on slide 1 shows minor variation from the Ground Truth. | The prediction slides are misaligned with the ground truth by one slide (Prediction slide 6 shows Ground Truth slide 7's table content, Prediction 7 shows GT 8's content, etc.), and the 'Pediatric IBD' slide from Ground Truth 6 is completely missing from the prediction sequence, while a new 'Similarity in IBD' slide appears in Prediction 10 that doesn't match Ground Truth 10's content; additionally, the table text in Prediction 6 appears slightly bolder/heavier than Ground Truth 7, suggesting font weight was altered rather than just font family changed to Arial. | The Prediction deck has completely rearranged the slide order compared to Ground Truth (e.g., Prediction slide 11 shows Ground Truth slide 12's content, Prediction slide 12 shows Ground Truth slide 13's content, etc.), and more critically, Prediction slide 15 alters the actual text content by changing 'use in pediatrics' to 'early use in pediatrics' and shifts which bullet points are colored blue, indicating unintended content modifications beyond just font changes.",kimi-k2.6 (median of 3),604.056,
9,Case 9: Shorten Bullet Points,Content,/root/PPTArena/agent_bench/predictions/opencode_minimax_m3/case_009.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
6,Case 6: Update Quarter Two Data (A),Content,/root/PPTArena/agent_bench/predictions/opencode_minimax_m3/case_006.pptx,2.00,1.00,"The prediction changed 'Q2' to 'Second Quarter' on most slides, but failed critically on multiple requirements: (1) On slides 6-9 and 17, the text was kept as a single line 'Second Quarter' instead of stacking as 'Second'/'Quarter' like the ground truth and the deck's existing 'Q1'/'Q3' style; (2) Font sizes were not reduced appropriately—slides 5, 6-9, 12, and 17 all retained original sizes (36pt or 24pt) instead of ground truth's 32pt, 28pt, or 16pt, causing text to be cut off or poorly fitted; (3) Shapes were not resized or repositioned properly—widths remained near initial tiny values (52-68 vs 155-331 in ground truth), heights were wrong, and positions were not adjusted to fit the longer text or avoid overlap; (4) The 'Quarter' paragraph was entirely missing on slides 6-9 and 17; (5) Slide 11's bar chart 'Q2' category label appears to have been missed entirely (no differences shown). The prediction essentially only did a naive text substitution without the required layout adjustments, leaving text cut off and mispositioned.","On slide 5 (Organisational Performance), the 'Q2' replacement text 'Second Quarter' is severely broken with characters scattered vertically ('Se', 'co', 'nd', 'Qu', 'art', 'er') overlapping with the gauge chart, making it unreadable and breaking the layout, while the Ground Truth shows properly formatted text. | The Prediction slides show severe layout failures: on slides 7-10, the 'Second Quarter' text is horizontally centered over the middle arrow graphic, causing it to overlap with both the arrow shape and the bullet point text to its right, making content unreadable and breaking the visual grouping established in the Ground Truth where 'Second Quarter' was positioned as a clean right-aligned header above its associated bullet points; additionally, Prediction slide 6 appears to be missing entirely (replaced with what looks like slide 7's content), and slide 10 shows completely different content (financial performance) versus the Ground Truth's 'Transformed capability' slide. | The prediction correctly changes 'Q2' to 'Second Quarter' on slides 12 and 13 (matching ground truth slides 12 and 13), but there is a slide misalignment in the batch: prediction slide 11 shows ground truth slide 12's content, prediction slide 12 shows ground truth slide 13's content, prediction slide 13 is blank matching ground truth slide 14, prediction slide 14 matches ground truth slide 15, and prediction slide 15 shows new content not in the ground truth batch. Within the matched slides, the 'Second Quarter' text replacement is correctly implemented with proper font color and readable sizing, but the overall batch has structural offset issues with slide numbering/content mismatch.",kimi-k2.6 (median of 3),637.690,
7,Case 7: Update Quarter Two Data (B),Content,/root/PPTArena/agent_bench/predictions/opencode_minimax_m3/case_007.pptx,1.00,1.00,"The prediction failed catastrophically on multiple instruction requirements: (1) Q2 replacements were missed entirely on Slide 5 (table headers still show 'Q2'), and mid-sentence replacements incorrectly used 'Second Quarter' with capital S instead of lowercase 'second quarter'; (2) Slide 9 title font size was not changed to 32pt (remains 22.0); (3) While un-bolding on slides 6 and 7 was partially correct, Slide 9 suffered severe structural corruption where text boxes were swapped/misplaced (e.g., 'Three Months Ending June 30' and '$840M*' exchanged positions, 'Primary Variances' and variance amounts were scrambled between text boxes), making the slide content semantically wrong.","On slide 5 (PREDICTION_SLIDE_5), the title incorrectly shows 'Second Quarter (Second Quarter)' with overlapping text and a garbled subtitle 'Second quarter results are driving...' where 'Second' appears duplicated/overlapping with 'NOI', indicating a failed text replacement of 'Q2' that corrupted the layout; additionally, the subtitle text 'Q2 (Three months ending June 30)' was not replaced with 'Second Quarter' as required. | Multiple critical errors: Prediction slide 6 shows the wrong slide content (Gross Operating Revenues instead of NOI table), Prediction slide 9 is missing the third bar chart (Second Quarter 2019 A), and Prediction slide 12 is completely blank; additionally, text overlap is visible on Prediction slide 6 title, and the legend text on slides 6 and 9 remains bold when it should be un-bolded per instructions.",kimi-k2.6 (median of 3),363.436,
1,Case 1: Translate to English But Keep French,Content,/root/PPTArena/agent_bench/predictions/opencode_minimax_m3/case_001.pptx,1.00,1.00,"The prediction failed catastrophically on multiple fronts: (1) It left most Kazakh text untranslated on slides 8, 9, and parts of other slides, directly contradicting the core instruction; (2) It corrupted French text throughout—reordering, fragmenting, or deleting French words on slides 1, 2, 10, 13, 14, 15, and 16, violating the explicit prohibition against modifying French; (3) It produced nonsensical English translations like 'canteen(in)' instead of 'in the dining hall' on slide 10, and 'food' instead of 'a diet' on slide 4; (4) It destroyed text formatting and structure with broken runs, wrong font sizes, and scrambled word order across numerous slides. The prediction essentially failed to perform the primary translation task while also damaging the French text that was supposed to be preserved untouched.","The prediction shows a slide order mismatch (slides 1-2 swapped with GT slides 2-3), and Prediction slide 5 introduces an entirely new slide not present in Ground Truth while omitting the original slide 1; additionally, Prediction slide 4 incorrectly translates 'a diet' to 'food' instead of preserving the Ground Truth translation. | The prediction contains critical translation errors: slides 8 and 9 have Kazakh text in the right columns instead of English translations, and slide 10 shows an entirely different slide layout with French-English vocabulary pairs instead of the expected vegetable/fruit table; additionally, slide 6 is missing entirely (replaced by slide 7's content), and slide 7's list has modified text ('checking homework' vs 'Homework check', 'conjugation' vs 'classification') with inconsistent spacing after periods. | The prediction deck has a completely scrambled slide order: Prediction slide 11 shows Ground Truth slide 12's YouTube URL content, Prediction slide 12 shows Ground Truth slide 13's verbs content with an incorrect title change from 'verbs - verbs' to 'Verbs' and erroneous translation 'To drink water' instead of 'To drink', Prediction slide 13 matches Ground Truth slide 14, Prediction slide 14 matches Ground Truth slide 15, and Prediction slide 15 introduces an entirely new 'Exercise 2' slide not present in the Ground Truth batch, while Ground Truth slide 11's French-English numbered list content is completely missing from the prediction deck.",kimi-k2.6 (median of 3),681.606,
13,Case 13: Italicize Subheadings (D),"Content, Styling",/root/PPTArena/agent_bench/predictions/opencode_minimax_m3/case_013.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
14,Case 14: Bold Title (A),"Content, Styling",/root/PPTArena/agent_bench/predictions/opencode_minimax_m3/case_014.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
12,Case 12: Stock Photo Cleanup,"Content, Layout",/root/PPTArena/agent_bench/predictions/opencode_minimax_m3/case_012.pptx,2.00,2.00,"The prediction added captions and created a gallery layout, but failed on multiple critical requirements: the caption texts are completely wrong ('Stock Photo Gallery' instead of 'Giraffes in the wild', 'A Pair of Stags in Profile' instead of 'Football on grass', 'Giraffe on the African Savanna' instead of 'Black and white image of deer'), added unnecessary extra text elements (title, subtitle, divider line) not requested in the instruction, and the image layout differs significantly from ground truth's sleek diagonal/horizontal stack arrangement.","The prediction uses completely different captions than required ('A Pair of Stags in Profile', 'Giraffe on the African Savanna', 'Soccer Ball on the Pitch' instead of 'Black and white image of deer', 'Giraffes in the wild', 'Football on grass'), adds an unrequested title and subtitle, changes the layout from a sleek diagonal panel design to a simple horizontal grid, and places captions below images rather than overlaid on them.",kimi-k2.6 (median of 3),40.417,
16,Case 16: Curate Multi-Panel Photo Layout,"Layout, Content",/root/PPTArena/agent_bench/predictions/opencode_minimax_m3/case_016.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
