case_index,case_name,category,prediction,instruction_following_score,visual_quality_score,instruction_following_reason,visual_quality_reason,judge_model,judge_time_seconds,errors
2,Case 2: Fix Misspellings,Content,/root/PPTArena/agent_bench/predictions/opencode_glm52/case_002.pptx,5.00,0.00,"The prediction correctly identified and fixed all spelling errors specified in the instruction across all slides (Buisneses→Businesses, suceses→successes, porgrams→programs, saftey→safety, hazaards→hazards, sustainablity→sustainability, enerjize→energize, valuble→valuable, encuraged→encouraged, communicat→communicate, onhoing→ongoing, sourcea→sources, ilneses→illnesses, Cusromize→Customize, preswntation→presentation), with the only differences being minor formatting variations in how text runs were reconstructed that don't affect the semantic outcome or final displayed text.","All spelling corrections were applied correctly across all slides ('Buisneses' to 'Businesses', 'suceses' to 'successes', 'porgrams' to 'programs', 'saftey' to 'safety', 'hazaards' to 'hazards', 'sustainablity' to 'sustainability', 'enerjize' to 'energize') with original formatting, fonts, colors, positions, and layout preserved exactly; no unintended visual changes are present. | The prediction slides are completely misaligned with the ground truth: Prediction Slide 6 shows 'Worker Participation' instead of 'Management Leadership', Prediction Slide 7 shows 'Find and Fix Hazards' instead of 'Worker Participation', and Prediction Slide 8 shows a new 'Customize' slide not matching the ground truth's 'Find and Fix Hazards' - indicating the model failed to preserve slide structure and content entirely.",kimi-k2.6 (median of 3),247.812,
3,Case 3: Add Footer Text Box,"Content, Layout",/root/PPTArena/agent_bench/predictions/opencode_glm52/case_003.pptx,4.00,0.00,"The prediction successfully adds the required text 'Source: www.VerifyMe.com' to slide 5 in the footer area, but differs from ground_truth in being center-aligned rather than left-aligned, positioned more toward the center-bottom rather than bottom-left, and using a specific font (DM Sans Medium, 11pt) rather than default formatting; however, the semantic intent of adding a readable source citation at the bottom is achieved with only minor positional and stylistic variations that don't affect the core instruction.","The source citation 'Source: www.VerifyMe.com' is correctly added at the bottom of slide 5, positioned below the horizontal line and main content, with appropriate readability and no overlap with primary content; however, the prediction places it centered rather than left-aligned as in the ground truth, and the prediction's slide 5 shows a completely different slide content ('Strategic Snapshot') compared to the ground truth's slide 5 ('Welcome'), indicating the model edited a different slide than intended or the deck structure differs, though per the instruction to only evaluate slide 5's citation addition, the citation itself is semantically correct and well-placed. | The prediction correctly adds 'Source: www.VerifyMe.com' to slide 5's footer area below the horizontal line, matching the semantic intent; however, the text is centered rather than left-aligned as in the ground truth, and slides 6-10 show identical content to ground truth with no unintended changes. | The prediction completely fails to match the ground truth: slide 11 in prediction shows 'Non-GAAP Reconciliation' content instead of 'Appendix', slide 12 shows the financial table instead of the text content, and slide 13 shows a contact page instead of the financial table, indicating the entire slide sequence is misaligned and the requested source citation was not added to the correct slide.",kimi-k2.6 (median of 3),373.971,
5,Case 5: Change Body Text Font to Arial,"Content, Styling",/root/PPTArena/agent_bench/predictions/opencode_glm52/case_005.pptx,4.00,0.00,"The prediction correctly changed most body text to Arial while preserving title fonts, but failed on Slide 20 where the Content Placeholder 2 font was changed to Arial instead of retaining '+mj-lt' (the ground truth kept it as '+mj-lt', suggesting this was title-like or special body text that should have been excluded), and also lost line spacing settings on Slide 19 and altered various positional/layout properties across multiple slides that the instruction required to be preserved.","The Prediction successfully changes all body text to Arial while preserving title fonts, maintaining identical layout, spacing, and readability across all 5 slides with no overlapping or off-canvas elements. | The prediction slides are misaligned with ground truth by one slide number (PREDICTION_SLIDE_6 shows GROUND_TRUTH_SLIDE_7's table content, and PREDICTION_SLIDE_10 shows a new 'Similarity in IBD' slide not present in the ground truth batch), but comparing corresponding content directly, the body text font appears consistently changed to Arial while titles remain in their original bold font, with preserved colors, sizes, and layout structure across all matching slides. | The prediction slides are completely misaligned with the ground truth: Prediction slide 11 shows ground truth slide 12's content, prediction slide 12 shows ground truth slide 13's content, prediction slide 13 shows ground truth slide 14's content, prediction slide 14 shows ground truth slide 15's content, and prediction slide 15 shows a modified version of ground truth slide 12 with altered text ('early use' instead of 'use'), indicating the model failed to correctly map slides and modified content unexpectedly.",kimi-k2.6 (median of 3),631.903,
6,Case 6: Update Quarter Two Data (A),Content,/root/PPTArena/agent_bench/predictions/opencode_glm52/case_006.pptx,2.00,1.00,"The prediction failed to properly resize shapes to accommodate 'Second Quarter' text, leaving it on a single line with original narrow widths (e.g., 52.66 vs 331.6 on slide 5, 52.66 vs 155.2 on slides 6-9) and original font sizes (36pt vs required 28-32pt), causing text to be cut off or overflow; the ground truth correctly used two-line stacked formatting with reduced font sizes and expanded widths, while the prediction also failed to reposition elements to maintain clean layout, leaving shapes in their original positions with no overlap avoidance.","On slide 5 (the only slide with 'Q2' in this batch), the 'Second Quarter' text is severely broken with letters scattered vertically ('Se', 'co', 'nd', 'Qu', 'art', 'er') overlapping the gauge chart and percentage value, making it unreadable and violating the requirement that text must be fully visible and non-overlapping; additionally, the middle gauge's colored arc appears changed from orange to gray compared to ground truth. | On slides 7-10, the 'Second Quarter' text is severely misplaced, overlapping with the gray arrow graphic and bullet points instead of being properly positioned as a header above the Q2 content like in the Ground Truth; on slide 6, the Ground Truth shows 'Organisational Performance' with gauge charts while the Prediction shows entirely different content ('Key achievements: Insightful data'), indicating a slide content mismatch or wrong slide pairing, and the 'Second Quarter' text overlaps with the gray arrow and bullet text on all prediction slides 7-10, making the layout broken and readability poor. | The prediction shows a slide order mismatch: PREDICTION_SLIDE_11 displays Ground Truth slide 12's content (bar chart with 'Second Quarter'), PREDICTION_SLIDE_12 displays Ground Truth slide 13's content (invoice payments with 'Second Quarter'), PREDICTION_SLIDE_13 is blank matching Ground Truth slide 14, PREDICTION_SLIDE_14 matches Ground Truth slide 15 (Human Resources), and PREDICTION_SLIDE_15 shows entirely new content not present in the Ground Truth batch. While the 'Q2' to 'Second Quarter' replacements are correctly implemented where applicable (slides 12 and 13 content), the prediction is missing Ground Truth slide 11 entirely (Financial performance) and introduces an unexpected slide 15 (Employment equity profile), indicating unintended structural changes to the deck.",kimi-k2.6 (median of 3),663.326,
7,Case 7: Update Quarter Two Data (B),Content,/root/PPTArena/agent_bench/predictions/opencode_glm52/case_007.pptx,1.00,2.00,"The prediction failed on multiple critical requirements: (1) Q2 replacements were missed entirely on Slide 5 (table headers remain 'Q2'), and mid-sentence instances on Slides 6 and 9 were incorrectly capitalized as 'Second Quarter' instead of 'second quarter'; (2) Slide 9 has severe structural corruption where text boxes were swapped/misplaced—'$840M*' moved to wrong position, 'Three Months Ending June 30' relocated, variance labels scrambled, and title font size was not changed to 32pt; (3) Un-bolding on Slide 7 was partially applied to wrong text boxes (TextBox 21 and 24 were unbolded but these appear to be incorrect targets based on the structural chaos). The prediction shows major content displacement and misalignment with ground truth semantics, indicating substantial failure to follow instructions correctly.","On slide 5, the title incorrectly shows 'Second Quarter (Second Quarter)' with overlapping text and a duplicated replacement, where 'Q2' was replaced twice in the same phrase instead of once as 'Q2 (Second Quarter)' or similar; additionally, the subtitle text 'Second quarter results are driving...' has an unintended lowercase 's' at the start, and the table header still shows 'Q2 (Three months ending June 30)' without replacement, indicating inconsistent and incorrect Q2 replacement throughout. | Multiple critical failures: Prediction slide 6 shows severe text overlap in the title area with garbled text, and the x-axis legend labels are jumbled and overlapping; Prediction slide 9 has overlapping legend text at the bottom; Prediction slide 12 is completely blank missing all content; slides 7 and 8 appear correct but the un-bold instruction for slide 7's 'YOY Activity Variance' text cannot be verified from the available ground truth comparison.",kimi-k2.6 (median of 3),398.198,
1,Case 1: Translate to English But Keep French,Content,/root/PPTArena/agent_bench/predictions/opencode_glm52/case_001.pptx,2.00,1.00,"The prediction made numerous critical errors: it scrambled French text on slides 1-2 and 10-16 by breaking words into incorrect fragments and misordering them, mistranslated Kazakh on slide 4 ('food, foodstuff' vs 'meal, a diet'), slide 5 ('canteen' vs 'cooking'), slide 6 ('conjugation' vs 'classification'), slide 9 (singular forms vs plural), and slide 10 ('canteen' vs 'dining hall'), failed to preserve formatting with lowercase translations instead of title case in tables on slides 8-9, and introduced structural fragmentation issues throughout while the ground truth maintained proper French text preservation and accurate translations.","The prediction slides are visually very close to ground truth with minor differences: Slide 1 matches GT Slide 2 (not GT Slide 1) with slightly different Eiffel Tower image crop; Slide 2 matches GT Slide 3 perfectly; Slide 3 matches GT Slide 4 perfectly; Slide 4 shows incorrect translation ('food, foodstuff' instead of 'meal, a diet') which is a content error but visually formatted the same; Slide 5 introduces a completely new slide not in the ground truth batch, indicating a slide ordering/selection issue rather than visual quality problem for the slides that do match. | Multiple slides show significant deviations: Slide 6 is completely missing (replaced by slide 7 content with wrong numbering and text like 'conjugation' instead of 'classification'); slide 8 has lowercase English translations instead of title case (e.g., 'bread' vs 'Bread') and 'coffee' instead of 'Cafe'; slide 9 has singular forms instead of plural (e.g., 'cucumber' vs 'cucumbers', 'carrot' vs 'carrots'); and the overall slide sequence is misaligned with ground truth numbering. | The prediction deck has a critical slide misalignment: Prediction slide 11 shows the YouTube URL that belongs in slide 12, Prediction slide 12 shows the 'verbs - verbs' content that belongs in slide 13, and this cascading shift continues through the sequence, resulting in the complete loss of the original slide 11 (French-English numbered list) and an extra unmatched slide 15 (Exercise 2) that has no corresponding ground truth in this batch.",kimi-k2.6 (median of 3),697.254,
8,Case 8: Summarize Paragraphs,Content,/root/PPTArena/agent_bench/predictions/opencode_glm52/case_008.pptx,4.00,4.00,"The prediction successfully summarized the large text blocks on slides 2-9 into single concise paragraphs that accurately reflect key points, matching the semantic intent; however, it retained original font sizes (20.0-24.0) where the ground_truth removed them (None), and on slides 2, 3, and 6, empty paragraph structures were missing from the prediction, indicating minor formatting inconsistencies rather than content errors.","The prediction successfully summarizes text blocks into single paragraphs on slides 2-5 while preserving slide titles, logos, and overall theme; however, the summary paragraphs are noticeably longer and more detailed than the ground truth's more concise summaries, and slide 1 shows minor font weight differences in the title area compared to ground truth. | The prediction slides show an off-by-one mapping error where PREDICTION_SLIDE_6 contains the 'organ on chip' content (should be 'animal models'), PREDICTION_SLIDE_7 contains 'assays' content (should be 'organ on chip'), PREDICTION_SLIDE_8 contains 'next level' content (should be 'assays'), and PREDICTION_SLIDE_9 introduces a new 'WHO response' title not present in the ground truth, while the 'animal models' slide is completely missing from the prediction batch; however, the visual formatting, fonts, colors, and layout structure remain consistent with the ground truth style.",kimi-k2.6 (median of 3),312.549,
12,Case 12: Stock Photo Cleanup,"Content, Layout",/root/PPTArena/agent_bench/predictions/opencode_glm52/case_012.pptx,2.00,2.00,"The prediction added captions to all three images and arranged them in a panel layout, but the captions are completely wrong—each description is assigned to the wrong image ('Two Antlered Stags in Profile' appears on the giraffe image, 'Giraffe on the Golden Savanna' on the football image, and 'Soccer Ball on the Grass' on the deer image), and the layout positions differ substantially from the ground truth with images sized uniformly rather than in a sleek asymmetric arrangement.","The Prediction uses completely different captions than required ('Two Antlered Stags in Profile', 'Giraffe on the Golden Savanna', 'Soccer Ball on the Grass' instead of 'Black and white image of deer', 'Giraffes in the wild', 'Football on grass'), changes the layout from a sleek diagonal panel to a basic centered grid, and adds dark overlay bars under captions that weren't in the Ground Truth.",kimi-k2.6 (median of 3),27.539,
9,Case 9: Shorten Bullet Points,Content,/root/PPTArena/agent_bench/predictions/opencode_glm52/case_009.pptx,2.00,2.00,"The prediction failed to follow the instruction on multiple critical dimensions: on Slide 4, the prediction left text nearly unchanged (16+ words vs. ground truth's ~10 words), missing the conciseness goal entirely; on Slide 5, no text shortening was performed at all; on Slides 7-10, while some shortening occurred, the prediction often added unnecessary details (e.g., 'Project ECHO labs' on slide 8, 'separate agreement' on slide 9, 'coordinated by DBHDS' on slide 10) rather than aiming for ~10 words, and failed to leave longer complex points untouched as instructed (ground truth preserved 'Expanding training...' and 'Support DFS...' in fuller form, while prediction shortened them). The prediction also introduced formatting artifacts (extra empty runs) and maintained explicit 22pt font sizes where the ground truth accepted defaults, though this is noted as non-penalizable.","The prediction fails to execute the core instruction: slide 4's text was not shortened (it remains verbose with ~25-30 words per bullet instead of ~10), slide 5's introductory sentence 'Grant activities are structured within six domains to strengthen:' was not shortened as required, and the instruction targeted slides 4, 5, and 7-10 but only slides 4-5 are present in this batch with no evidence of edits on slide 4; additionally, the prediction's slide 4 text appears in black instead of the ground truth's gray color, and the title on slide 5 appears slightly larger/different in the prediction, indicating unintended formatting changes. | The prediction shows significant content errors: slide 6 is missing entirely (replaced by Budget Summary), and the slide numbering is misaligned—Ground Truth slides 7-10 (Budget Summary, Awarded Activities, Awarded Activities cont., Peer Recovery) are replaced by Prediction slides 7-10 (Awarded Activities, Awarded Activities cont., Awarded Activities cont. 2, Peer Recovery), with the first Awarded Activities slide duplicated and one original slide omitted; additionally, the text on Prediction slide 9 incorrectly adds 'to the Chief Medical Examiner (separate agreement)' which is not in the Ground Truth, indicating both structural and content deviations.",kimi-k2.6 (median of 3),249.635,
4,Case 4: Increase Font Size on Slide 8,"Content, Styling",/root/PPTArena/agent_bench/predictions/opencode_glm52/case_004.pptx,2.00,0.00,"The prediction failed to increase font sizes in TextBox 43 and TextBox 44 (font_size shows as 'None' vs. ground truth 20.0), and correspondingly did not expand their heights to accommodate larger text (heights remained at initial values instead of growing as required); these appear to be the 'Inverted'/'Real' text boxes that should have been enlarged by 2 points per the instruction.",No visual reasoning returned.,kimi-k2.6 (median of 3),1125.220,
