case_index,case_name,category,prediction,instruction_following_score,visual_quality_score,instruction_following_reason,visual_quality_reason,judge_model,judge_time_seconds,errors
17,Case 17: Build Ensemble Category Boards,"Layout, Styling",/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_017.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
12,Case 12: Stock Photo Cleanup,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_012.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
27,Case 27: Correct Images,Content,/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_027.pptx,2.00,1.00,"The prediction made all three picture placeholders the same size (236.22 x 236.22) and aligned them horizontally at the same top position (157.48), but critically failed to position each placeholder directly above its corresponding text label—the leftmost placeholder (83.23) ended up above the 'shark' text's position, the middle placeholder (645.35) was far right above nothing, and the rightmost placeholder (364.29) was in the middle, creating a scrambled layout where images don't align with their labels, unlike the ground_truth which had proper left-to-right ordering (86.4, 366.9, 647.3) matching the text labels below.","The prediction swapped the image positions so they no longer align with their correct text labels—baseball image is above 'SHARK', shark image is above 'CAR', and car image is above 'BASEBALL'—creating a fundamentally broken semantic layout despite the images being same-sized and horizontally aligned.",kimi-k2.6 (median of 3),33.679,
16,Case 16: Curate Multi-Panel Photo Layout,"Layout, Content",/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_016.pptx,2.00,4.00,"The prediction failed on multiple critical requirements: (1) All three photos have top positions at ~111pt instead of the required ~135pt alignment, violating the 'exactly the same vertical position' requirement; (2) All photos are sized at ~253pt instead of ~230pt, exceeding the ±5pt tolerance; (3) The photos are not positioned directly above their labels—WATERFALL and STAIRCASE labels are shifted right and all labels are at ~379pt instead of ~363-365pt; (4) The slide background remains BACKGROUND(5) instead of being changed to SOLID(1) as explicitly required; (5) While rotations were removed (good), the horizontal spacing and sizing are substantially off from the ground truth's clean triptych layout.","The Prediction successfully arranges the three photos as a clean horizontal row with rotations removed, similar sizing, and aligned top edges within the pink panel, but the blue frame decorations remain teal instead of the ground truth's blue (#4472C4), and the label positions appear slightly shifted downward compared to the ground truth.",kimi-k2.6 (median of 3),76.188,
28,Case 28: Fix Slide Order and Agenda,Structure,/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_028.pptx,4.00,4.00,"The prediction correctly reordered slides to logical flow with Agenda first and Conclusion/Q&A last, updated agenda bullets to match new slide order, and updated slide numbers appropriately; however, it introduced minor formatting differences (missing trailing spaces in agenda items, missing empty paragraph, and None values for line_spacing/alignment instead of explicit values) that don't affect semantic meaning but represent tiny inaccuracies in presentation structure.","The prediction correctly reorders slides with Agenda first, followed by Visual appeal, Engaging the audience, Effective delivery techniques, Conclusion, and Q&A last, with matching agenda items and updated slide numbers (1-6); however, the date in the top-right corner changed from '07/03/2026' to '07/04/2026' on slides 1-5 and '5/8/2025' on slide 6, which is an unintended change to non-requested content.",kimi-k2.6 (median of 3),118.997,
7,Case 7: Update Quarter Two Data (B),Content,/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_007.pptx,1.00,1.00,"The prediction failed on all three major requirements: (1) Multiple instances of 'Q2' were not replaced with 'Second Quarter' (e.g., Slide 5 table headers, Slide 8 chart names), while other replacements used incorrect casing ('Second Quarter' mid-sentence instead of 'second quarter'); (2) The slide 9 title font size change to 32pt was not accomplished—instead, the prediction severely corrupted slide 9 by swapping text box identities and positions, mixing up content between 'Three Months Ending June 30', '$840M*', 'Primary Variances', and other elements; (3) While some un-bolding occurred on slides 6 and 7, the slide 9 un-bolding was part of a broader destructive rearrangement that lost the original semantic structure. The prediction's changes on slide 9 were catastrophically incorrect, with text boxes exchanging contents, positions, and formatting in ways that contradict the instruction to simply change font size and un-bold text.","On slide 5, the title shows 'Second Quarter (Second Quarter)' with duplicated replacement text and the original 'Q2' still visible in 'Q2 (Three months ending June 30)', indicating a failed replacement; additionally, the title appears to overlap with the subtitle text below it, and the 'NOI' text from a previous slide appears to be erroneously overlaid on the slide. | Multiple critical failures: Prediction slide 6 shows severe title text overlap with 'Revenues' garbled; Prediction slide 9 has garbled x-axis labels with overlapping text; Prediction slide 12 is completely blank missing all content; Q2 replacements are inconsistent ('Second Quarter' vs 'Q2' in legends); and the un-bolding instruction appears not fully executed on required slides.",kimi-k2.6 (median of 3),182.089,
30,Case 30: Convert Text Data to a Line Chart,Content,/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_030.pptx,3.00,2.00,"The prediction created a line chart with markers on slide 8 and built a custom legend to the right with NHOPI, Asian, and White entries, but the chart data values are significantly rounded/imprecise (e.g., 18.0 vs 0.1809, 14.0 vs 0.1394) compared to ground truth's accurate decimal representation, and the prediction also made numerous unintended text truncations across slides 2-7 and 9 that were not requested in the instruction.","The prediction fails to execute the core instruction: slide 8 (which should contain the line chart with custom legend replacing uninsured rate text data) is completely missing from the provided slides, with only slides 1-5 shown that do not include the required modification; additionally, the prediction's slide 5 shows a bar chart instead of the requested line chart with markers and custom legend, indicating the wrong slide was modified or the task was not completed correctly. | The prediction successfully converts slide 8 to a line chart with markers and adds a custom legend on the right, but the data labels showing percentage values on each data point are missing compared to the ground truth, and the vertical axis scale/format differs slightly (showing 0-20 with clean increments vs. the ground truth's 8%-18% range with specific percentage labels at data points).",kimi-k2.6 (median of 3),170.073,
21,Case 21: Title Case Titles,"Content, Styling",/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_021.pptx,0.00,1.00,"The prediction completely failed to apply Title Case capitalization to any slide title, leaving all titles in their original lowercase form (e.g., 'data science and informatics', 'who are we?', 'brief history of dsi', 'our workshops:', 'workshop Coordination', 'competing data science truths', 'Workshop design', 'workshop instructors', 'results of workshops', 'growth of dsi', 'results of growth', 'contact') while the ground truth correctly capitalized them; additionally, the prediction introduced corrupted text fragments (e.g., 'w', 'ho ', 'hat ') and formatting anomalies in slides 2 and 4, and partially capitalized only one word in slides 6 and 8 ('workshop Coordination', 'Workshop design'), making the changes not just incomplete but substantially incorrect.","The prediction incorrectly converts all slide titles to lowercase instead of Title Case, failing the core instruction—e.g., Slide 1's title becomes 'data science and informatics: creating student led data science curricula' instead of 'Data Science and Informatics: Creating Student Led Data Science Curricula', Slide 3 becomes 'brief history of dsi' instead of 'Brief History of DSI', and the acronym 'DSI' loses its all-caps format; additionally, the prediction for Slide 5 shows a different slide ('our workshops:') that doesn't match the Ground Truth Slide 5 structure, indicating content alteration beyond just title casing. | The prediction fails catastrophically on multiple slides: Prediction slide 6 is missing the entire image and bullet points from Ground Truth slide 6 (showing only the 'Workshop Coordination' title from slide 7); Prediction slide 7 incorrectly lowercases the title to 'competing data science truths' instead of Title Case; Prediction slide 8 incorrectly lowercases 'design' to 'Workshop design'; Prediction slide 9 incorrectly lowercases 'workshop instructors'; and Prediction slide 10 is missing all body content (bulleted list and subheading) while also lowercasing the title and adding an unintended underline to the remaining text. | The prediction completely fails to apply Title Case to slide titles: slides 11, 12, 14, and 15 have all-lowercase titles ('results of workshops', 'growth of dsi', 'results of growth', 'contact'), slide 13 correctly has 'Growth Statistics' but this appears to have been already in Title Case in the original; additionally, the prediction swaps the content of slides 11 and 12 (showing 'results of workshops' content on slide 11 which should be 'Workshop Instructors', and 'growth of dsi' content on slide 12 which should be 'Results of Workshops'), indicating major structural errors beyond just capitalization.",kimi-k2.6 (median of 3),235.555,
42,Case 42: Organize Research Poster,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_042.pptx,2.00,1.00,"The prediction completely misassigned content to columns: the doughnut chart (Chart 40) and 'Abstract' heading ended up in Column 2 (Materials position at left=72.0/909.0) instead of Column 3, the 'Materials' heading and 'Results/Data Analysis' content were placed in Column 3 (at left=1746.0) instead of their correct columns, and the 'Conclusion' callout box (Group 20) was placed at left=2583.0 in Column 4's position but at top=1696.15 which overlaps incorrectly; most critically, the charts and text boxes are scattered across wrong columns rather than being logically grouped under their correct headings as required by the four-column layout instruction.","Major content misplacement: the doughnut chart (Chart B) appears in the Abstract column instead of Results/Data Analysis; the Materials column contains Abstract content; Results/Data Analysis contains Materials content (Images, Text); the Conclusion column lacks the Callout Box background shape and has overlapping/overflowing text; the 'Acknowledgements' heading is truncated; and the 'Introduction' heading appears orphaned at the bottom of the Conclusion column, indicating severe structural disorganization despite the four-column framework being present.",kimi-k2.6 (median of 3),51.592,
44,Case 44: Match Flag to Text,Content,/root/PPTArena/agent_bench/predictions/cua_chatgpt_agent/case_044.pptx,2.00,4.00,"The prediction failed to achieve the core instruction: instead of removing the bulleted list and creating flag-text pairings, it retained the original bulleted list in the content placeholder and merely resized/repositioned the flags without placing text next to them; the ground truth created four separate text boxes each paired with its corresponding flag (Kenya, Nigeria, Egypt, Zambia), removed the original list, and deleted the duplicate South African flag, while the prediction left all text in the original list format and did not create any flag-description pairings.","The prediction correctly pairs all four unique flags with their corresponding text descriptions, removes the duplicate/hidden South African flag, preserves the header title and images, and presents a clean readable layout; however, it retains the bulleted list format with asterisks rather than fully integrating flags directly adjacent to text as in the ground truth's more compact paired arrangement, and the flags are positioned in a vertical column on the left rather than distributed in a grid layout.",kimi-k2.6 (median of 3),29.657,
