case_index,case_name,category,prediction,instruction_following_score,visual_quality_score,instruction_following_reason,visual_quality_reason,judge_model,judge_time_seconds,errors
7,Case 7: Update Quarter Two Data (B),Content,/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/q2predictionb.pptx,2.00,1.00,"Several key requirements were missed: not all 'Q2' instances were replaced (e.g., Slide 5 Table 8 still shows 'Q2' instead of 'Second Quarter'), the Slide 9 main title was not set to 32pt (prediction shows 22pt and mismatched text/z-order), and un-bold targets were misapplied (e.g., multiple Slide 7 text boxes were unbolded contrary to ground truth), despite some correct replacements (e.g., Slide 6 body text).",Multiple layout breakages: on slide 5 the oversized title overlaps the subtitle and the table header shows 'Q2' instead of 'Second Quarter'; on slide 6 the title wraps and overlaps the subtext and the bottom x‑axis labels stack/overlap; on slide 9 the x‑axis labels and legend overlap—clear deviations from the Ground Truth.,gpt-5-2025-08-07,101.425,
47,Case 47: Change Line Graph to Bar Graph,Content,/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/ChangeLineGraphtoBar_TestA_modified.pptx,5.00,2.00,"The prediction achieves the required chart conversion with no differences in chart type, data, or layout; only minor metadata (chart name/alt text) and slide number placeholder text differ, which are unrelated to the instruction.","While the chart is converted to clustered columns and positioned similarly, the prediction adds a 'Series 1' chart title, removes the data labels (including the asterisk on 2003), and changes the y‑axis scale/styling compared to the Ground Truth.",gpt-5-2025-08-07,148.758,
27,Case 27: Correct Images,Content,/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/FixImagePorportions_TestA_edited.pptx,5.00,2.00,"In the prediction all three placeholders have identical size (236.22×236.22), share the same top value (157.48) for horizontal alignment, and their left positions occupy the three column positions (~83, ~364, ~645) above the labels, matching the ground truth’s semantic layout despite different numeric values and object assignments.","The three images are uniformly sized and aligned in a horizontal row with no overlap, but they are placed above the wrong text labels (baseball over 'SHARK', shark over 'CAR', car over 'BASEBALL'), violating the required image-to-label correspondence.",gpt-5-2025-08-07,190.214,
67,Case 67: WCAG Accessibility & Master Cleanup,"Structure, Styling",/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/AccessibilityMasterCleanup_TestA_improved.pptx,1.00,2.00,"The prediction diverges from the ground_truth accessibility edits by placing title text boxes on-slide at (36,36) with large sizes and DM Sans (e.g., Slide 1 TextBox 157) instead of off-slide (-720,-720) tiny 'Slide n Title' boxes using the theme default (font_name None), and it changes many shapes’ fonts to DM Sans and bold settings (e.g., Slide 2 Shape 162), thereby violating the required unique machine-readable titles, theme font consistency, and visual preservation.","Each slide in the prediction adds a new visible black title (e.g., 'Brainstorming Ideas', 'Infographic Overview'), which is not present in the ground truth and alters the visual layout even though the rest of the elements remain largely unchanged.",gpt-5-2025-08-07,120.280,
87,Case 87: Merge Near-Duplicate Slides,Structure,/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/DeleteDuplicate_TestA_updated.pptx,1.00,0.00,"Instead of only removing the duplicate of slide 10 and preserving all remaining content/order, the prediction makes substantial unintended edits (e.g., slide 10 layout changed and key shapes/text missing, slide 11 title/bullets replaced, slides 12–13 layouts and objects altered), contradicting the ground truth outcome.",no_batches_evaluated,gpt-5-2025-08-07,32.106,
30,Case 30: Convert Text Data to a Line Chart,Content,/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/LineGraph_TestA_slides8_updated.pptx,3.00,2.00,"The prediction adds a line chart with markers and a custom legend on the right with correct series (NHOPI, Asian, White), but it fails to replace the original data text box with the chart (TextBox 11 remains a TEXT_BOX rather than a CHART) and provides no evidence that the default chart legend or year-labeled axis were configured as in the ground truth.","While the slide uses a line chart with markers and a right-side custom legend, the plotted data deviate from the ground truth (Asian series rises to ~11% in 2016–2017 instead of 7%, and White is ~7% in 2015 instead of 8%), reducing semantic accuracy.",gpt-5-2025-08-07,265.899,
42,Case 42: Organize Research Poster,"Content, Layout",/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/OrganizeResearchPoster_TestA_reorganized_layout.pptx,2.00,1.00,"While a four-column structure is suggested by consistent left positions, key items are placed in the wrong columns relative to the ground truth reorganization (e.g., the doughnut chart/Chart 40 is at left 72.0 instead of ~1781 for the Results/Data Analysis column, Group 21 is at 1746.0 instead of ~949 for Materials, and connectors meant to accompany the charts are at 2583.0 instead of ~1779), so the required grouping under each heading is not met.","Major layout/content deviations: the doughnut chart appears in the Abstract column, Abstract text (and 'How to use this template') is moved under Materials, 'Images/Methodology' content is scattered into Results and the footer, the callout box is broken (text shown separately and an empty box), the Acknowledgements heading is truncated on the right, and the table is reduced to a gray bar—despite the header staying similar.",gpt-5-2025-08-07,247.542,
92,Case 92: Avatar Circle Crop,Content,/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/AvatarCircleCrop_TestA_final.pptx,1.00,2.00,"Prediction fails to create circular crops and misses the oval mask shapes present in ground_truth (e.g., missing Oval 1033/1035), alters and misassigns text/title elements (e.g., 'Our Team' becomes a picture and names shift), only partially sizes two images to 108x108 with a third lacking width, and does not maintain the correct vertical alignment and name-photo pairing required.","While the photos are circular and aligned, they are noticeably larger than in the ground truth, the subtle circular borders are missing, and the name text appears larger with different spacing, altering the original formatting.",gpt-5-2025-08-07,60.846,
89,Case 89: Fill in Animal Research poster,"Content, Layout",/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/AnimalResearchPoster_final-2.pptx,1.00,1.00,"Key required edits were largely not matched: the toucan diet labels were not updated to 'FRUIT & SEEDS'/'INSECTS & EGGS' and citations weren’t converted to numbered references, while on the snake poster many sections still read 'POINT 01/02/03', RESULTS figures (3,900 species/600 venomous) weren’t properly applied, and redundant placeholder elements in the RESULTS area were not removed, despite some factual text replacements elsewhere.","Prediction is missing the snake slide, and the toucan slide has major layout issues—tiny/illegible body text, misformatted bottom numbers ('1,00 2 0'), and absent diet labels—disrupting the intended visual hierarchy.",gpt-5-2025-08-07,63.552,
97,Case 97: LaTeX to Office Math (OMML),Content,/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/LaTeXtoOMML_TestA_modified.pptx,0.00,1.00,"The prediction did not convert the equation texts into editable math objects: on slide 2 the Fermat equation is removed instead of being an equation object and the body remains a placeholder, and on slide 3 the four equations remain as raw text in the placeholder (while ground truth had them converted), plus there are unrelated changes to slide structures and other slides violating the constraint to alter only slides 2 and 3.","Slide 2 splits the Fermat equation into tiny separate math objects (including a stray ‘n>2’), slide 3 compresses/overlaps the equations into a small illegible cluster and loses correct symbol/size alignment, and the deck is missing the final slide compared with Ground Truth.",gpt-5-2025-08-07,81.076,
21,Case 21: Title Case Titles,"Content, Styling",/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/FixTitleCase_TestA_edited.pptx,0.00,1.00,"The prediction essentially ignored the instruction, leaving most slide titles in lowercase (e.g., Slide 1 stayed “data science and informatics: creating student led data science curricula” instead of “Data Science and Informatics: Creating Student Led Data Science Curricula”) and failing to Title Case or preserve acronyms like “DSI” on slides 3 and 12, with similar misses on titles such as “workshop instructors” and “results of workshops.”","Most slide titles are not in Title Case as required (e.g., 'who are we?', 'growth of dsi', 'results of workshops'), the first slide title is entirely lowercase and overlaps the author text, and acronyms like DSI aren’t consistently capitalized—deviating clearly from the Ground Truth’s Title Case and clean layout.",gpt-5-2025-08-07,82.577,
28,Case 28: Fix Slide Order and Agenda,Structure,/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/Fixagendaslides.pptx,4.00,5.00,"The prediction correctly reordered the deck and updated the Agenda list and footer slide numbers to match the new sequence, but it introduced unintended formatting changes to the slide number placeholders (alignment/line spacing set to None instead of centered), which violates the no-other-formatting-changes constraint.","Prediction matches the Ground Truth exactly: slides are in the same order with identical layouts, fonts, colors, agenda bullet sequence, and footer slide numbers; no noticeable shifts or style changes.",gpt-5-2025-08-07,60.145,
6,Case 6: Update Quarter Two Data (A),Content,/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/QuarterTwoTestA___2302222_Presentation_Stats_SA_Q1_Q2_Q3_of_202223_edited.pptx,2.00,1.00,"While the text was likely changed, the prediction failed to match the ground_truth resizing and repositioning needed to fit 'Second Quarter' (e.g., widths left at ~52.66 vs 281–315 on slides 6–9 and 12; slide 5 width 68.54 vs 304.80; slide 17 width 43.45 vs 135.67 with incorrect font size), and it introduced an extra image change on slide 14, resulting in notable misses of the required adjustments.","The prediction breaks the 'Second Quarter' label into vertically stacked letters (often truncated to 'Second Q'), with significant overlap on slide 5’s center gauge and misplacement on slides 6–9, diverging markedly from the Ground Truth’s readable two-line horizontal text and clean layout. | Slide 12 renders only “Second” vertically (missing “Quarter”) and mispositions it; slide 16 breaks “Second Quarter” into stacked letters overlapping the circles; and slide 14 adds an extra icon—major unintended content and layout changes.",gpt-5-2025-08-07,131.463,
34,Case 34: Lambda Replacement,Content,/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/1ea18Lamda_TestA_modified_clean.pptx,1.00,0.00,"The prediction introduces many unrequested content and formatting changes (e.g., merged lines on Slide 1, color swaps and reordered text on Slides 3–4, added text to standalone λ on Slides 12 and 17), omits or alters required runs and styling, and fails to preserve the intended formatting while consolidating identical runs, so it does not match the ground truth implementation of replacing 'Lambda' with 'λ' and consolidating runs without visual change.","Prediction has only 1 slide versus 20 in the Ground Truth, and even on slide 1 the 'Presented by' details are merged into a single run without proper spaces, causing noticeable layout and readability deviations.",gpt-5-2025-08-07,67.953,
40,Case 40: Hindu Center Titles,"Content, Layout",/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/modified_HinduCenterTitles_TestA.pptx,2.00,1.00,"Slides 1 and 9 set the title/shape top to 0.0 instead of the ground truth vertical positions and have different left values, and slide 7 also differs in both left and top, so only some of the required horizontal-centering changes match the ground truth.","Slide 1 deviates heavily—the title text is shortened and positioned off-center compared to the centered ground truth—while slides 7 and 9 are centered similarly, causing a major unintended change to required content.",gpt-5-2025-08-07,59.408,
35,Case 35: Structural Fix,"Content, Styling",/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/1ea18structuralfix.pptx,1.00,1.00,"Prediction deviates widely from ground truth: on slide 1 the subtitle runs with 14pt bold are missing, many slides show altered or lost text/structure instead of cleaned runs, and no clear evidence of the slide 20 'LET'S SEE...' font change, with numerous unintended content and layout changes across slides.","Major layout/style issues: on slide 1 the main title overlaps the subtitle block (subtitle not clearly reduced), and on slide 7 excessive underlines run through entire paragraphs unlike the Ground Truth, while other slides are mostly similar. | Slides 18 and 19 visually match the Ground Truth, but on slide 20 the 'THANK YOU ALL' text appears slightly larger/lower and spacing differs a bit from the Ground Truth, though the overall layout is preserved.",gpt-5-2025-08-07,100.323,
44,Case 44: Match Flag to Text,Content,/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/MatchFlagtoText_TestA_updated.pptx,2.00,2.00,"The prediction left the bulleted list in the main placeholder and did not create the separate flag-text pair text boxes present in the ground truth (TextBox 9/11/15/17 missing), so flags are not clearly paired with descriptions, though only four flags remain.","The prediction keeps the bulleted list and places flags in a separate left column instead of paired flag-text groupings, and it includes a duplicate Nigerian flag (not four unique flags), diverging clearly from the ground truth layout though the title and header images are preserved.",gpt-5-2025-08-07,67.734,
46,Case 46: Convert Text & Arrows to SmartArt,"Content, Layout",/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/converttext&arrowssmartart.pptx,1.00,0.00,"The prediction diverges from the ground truth by retaining the 'YOU' text box (GT removed it), keeping scattered rectangles instead of consolidating into a single structured diagram, replacing the central person icon picture (GT: Picture 23) with a line, leaving connectors with incorrect types/dash styles, and preserving the slide title text while the ground truth blanked it.","Prediction contains no slides, so the entire structured diagram and the preserved title are missing compared to the Ground Truth.",gpt-5-2025-08-07,44.763,
50,Case 50: Normalize Date Format,Content,/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/NormalizeDate_Test_final.pptx,1.00,4.00,"The prediction fails to match the ground truth: several dates were left unstandardized or altered incorrectly (e.g., missing years on Slides 7–8, lowercasing not preserved for 'MARCH 11, 2022' on Slide 11, and wrong end date on Slide 14), and it introduced numerous non-date content/layout changes (e.g., misplaced placeholder texts on Slides 2–3 and 6) instead of only reformatting dates.","Fonts, colors, and text content match closely, but the central background image band is slightly repositioned/zoomed and the bottom-left text block sits marginally lower than in the ground truth.",gpt-5-2025-08-07,69.975,
53,Case 53: Fill Table from Data,"Content, Interactivity",/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/FillTablefromData_TestA_modified.pptx,2.00,3.00,"While the prediction filled a table with the 30% AMI data, it did so on the wrong table (Table 15) and left the original taxes table (Table 14) unchanged, failed to match the ground truth’s table placements and styling, and the ground truth’s added populated table shape is missing in the prediction with no clear deletion of the source text box.","The table data and colors largely match, but the 'Revenue' header is noticeably smaller and lacks the bold/underlined styling, and the '30% AMI Rents' header wraps to two lines with shifted alignment compared to the Ground Truth.",gpt-5-2025-08-07,113.372,
12,Case 12: Stock Photo Cleanup ,"Content, Layout",,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,gpt-5-2025-08-07,0.000,Prediction PPTX missing for this case.
54,Case 54: Match Slide Deck Theme,Styling,/Users/michaelofengenden/Desktop/PPTPilot/ChatGPTAgentSamples/matchslidedeckmodified.pptx,0.00,3.00,"Slides 3–9 were not switched to the Title and Content layout (all remain Blank), slide 3’s title text was altered, slide 5 lacks the required new title, and multiple content mappings/formatting (runs, positions, sizes) diverge from the ground truth.","Layout and content are preserved with no overlaps, but several slides (especially 6–8) have images resized much smaller than the ground truth—reducing legibility—and titles/bullet text show noticeable font weight/size differences and a different title on slide 5.",gpt-5-2025-08-07,89.112,
17,Case 17: Build Ensemble Category Boards,"Layout, Styling, Interactivity",,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,gpt-5-2025-08-07,0.000,Prediction PPTX missing for this case.
