case_index,case_name,category,prediction,instruction_following_score,visual_quality_score,instruction_following_reason,visual_quality_reason,judge_model,judge_time_seconds,errors
16,Case 16: Curate Multi-Panel Photo Layout,"Layout, Content",/root/PPTArena/agent_bench/predictions/cua_claude37/case_016.pptx,2.00,4.00,"The prediction failed to perform most of the requested Slide 2 changes: the three photos were not straightened, resized to ~230pt squares, aligned at top=135pt, or arranged in a horizontal row above their labels, and the slide background remained BACKGROUND(5) instead of changing to SOLID(1); the only changes seen are incidental Slide 1 differences and the prediction actually preserved initial state rather than implementing the required photo layout transformation.","The Prediction successfully arranges the three photos in a clean horizontal row with aligned top edges and removed rotations, matching the semantic intent; however, the blue frame decorations (Rectangles 21-24) remain teal instead of shifting to blue as in the Ground Truth, and the Prediction deck is missing Slide 1's cosmetic enhancements (gold accent line, dark corner shading) which were noted as incidental and not required, but the teal color difference is a visible deviation from the Ground Truth example.",kimi-k2.6 (median of 3),41.184,
12,Case 12: Stock Photo Cleanup,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_claude37/case_012.pptx,4.00,3.00,"The prediction successfully added visible captions for all three images and arranged them in a sleek panel gallery layout, matching the semantic intent; however, the prediction used different font formatting (no bold, no Georgia font specified, added white color instead) compared to ground truth, which are minor visual inaccuracies that don't fundamentally break the instruction but represent a tiny inconsistency in caption styling.","The prediction uses a simpler rectangular grid layout instead of the sleek diagonal panel design with white borders in the ground truth, and the caption text is white and thinner rather than bold black/dark text, reducing readability against light backgrounds.",kimi-k2.6 (median of 3),48.142,
17,Case 17: Build Ensemble Category Boards,"Layout, Styling",/root/PPTArena/agent_bench/predictions/cua_claude37/case_017.pptx,1.00,1.00,"The prediction fundamentally fails on both slides: Slide 1 has the animal photos in completely wrong positions (cheetah is not upper-left strip, tiger is not right column, lion and kitten are swapped from their intended lower-left/lower-right positions) and lacks the required diagonal white gap composition; Slide 2 swaps the photo positions (pebbles and raked sand are reversed, dunes and canyon are reversed), uses incorrect object types (some pictures became shapes and vice versa), and the white outlines appear as 1.5-width lines rather than proper card borders, while the grid lacks even margins and balanced spacing as required.","Prediction slide 1 is severely broken: it contains a duplicate cheetah instead of the tiger and lion, includes an unwanted sand dune photo, lacks the white background (has black instead), and has no diagonal white gap composition; Prediction slide 2 incorrectly places a tiger close-up in the top-left card instead of pebbles/rocks, violating the instruction that no animal photos should remain on this slide, though the gallery structure with dark cards and white outlines is otherwise correct.",kimi-k2.6 (median of 3),40.912,
27,Case 27: Correct Images,Content,/root/PPTArena/agent_bench/predictions/cua_claude37/case_027.pptx,5.00,5.00,Prediction perfectly matches ground truth with no detectable differences.,"The Prediction slide matches Ground Truth Slide 2 exactly, with three equally-sized images aligned horizontally and each positioned directly above its corresponding text label (SHARK, CAR, BASEBALL), fulfilling the instruction with no unintended changes to content, layout, or styling.",kimi-k2.6 (median of 3),22.676,
28,Case 28: Fix Slide Order and Agenda,Structure,/root/PPTArena/agent_bench/predictions/cua_claude37/case_028.pptx,3.00,4.00,"The prediction correctly reordered the slides and updated the agenda list to match, but failed to properly update slide numbers in footers—multiple slides have incorrect numbers (e.g., Slide 1 shows '2', Slide 2 shows '1', Slide 4 shows '6', Slide 5 shows '3', Slide 6 shows '5'), and Slide 1 is missing a content placeholder, indicating the reordering logic was flawed despite getting the agenda sequence right.","The Prediction correctly reorders slides with Agenda first, followed by content slides (Visual appeal, Engaging the audience, Effective delivery techniques), then Conclusion and Q&A last, with matching agenda items and updated slide numbers (1-6); however, the date in the footer changed from '07/03/2026' to '07/04/2026' on slides 1-5 and '5/8/2025' on slide 6, which is an unintended change to non-requested content.",kimi-k2.6 (median of 3),128.065,
30,Case 30: Convert Text Data to a Line Chart,Content,/root/PPTArena/agent_bench/predictions/cua_claude37/case_030.pptx,4.00,0.00,"On slide 8, the prediction successfully created a line chart with markers showing the three data series (Asian, NHOPI, White) across years 2013-2017 and built a custom legend group positioned to the right of the chart, matching the core semantic requirements; however, the prediction has the chart title 'UNINSURED RATE AMONG NONELDERLY INDIVIDUALS, 2013-2017' in a separate text box rather than integrated as the chart title, and the data values appear slightly rounded (0.16 vs 0.157) compared to ground truth, with numerous unrelated text truncation issues on other slides that don't affect the slide 8 instruction but indicate broader editing problems.","The instruction requested changes to slide 8 (converting text data to a line chart with markers and adding a custom legend), but only 5 slides were provided in both Ground Truth and Prediction, and neither deck contains a slide 8 or any slide with uninsured rate data or a line chart; the Prediction completely fails to implement the requested transformation as the target slide does not exist in the provided materials. | The prediction successfully converts slide 8 to a line chart with markers and includes a custom legend on the right, but the y-axis uses decimal format (0.02, 0.04, etc.) instead of percentage labels (0%, 2%, 4%, etc.) as shown in the ground truth, and the data point percentage labels (18%, 16%, 12%, etc.) are missing from the chart, making it slightly less readable.",kimi-k2.6 (median of 3),153.994,
7,Case 7: Update Quarter Two Data (B),Content,/root/PPTArena/agent_bench/predictions/cua_claude37/case_007.pptx,1.00,1.00,"The prediction failed on all three main requirements: (1) Multiple instances of 'Q2' were not replaced with 'Second Quarter' (e.g., Slide 5 table still has 'Q2', Slide 7-8 chart names still have 'Q2'); (2) Slide 9 has major structural corruption where text boxes were swapped/misplaced ($840M* moved to title position, 'Three Months Ending June 30' moved elsewhere, variance data scrambled between positions) rather than simply changing title font size to 32pt; (3) While some un-bolding occurred on slides 6, 7, and 9, the massive structural rearrangement on slide 9 and failure to complete the Q2 replacements make this largely incorrect.","On slide 5, the title incorrectly shows 'Second Quarter (Second Quarter)' with overlapping text and a garbled 'NOI' remnaint, indicating a failed replacement of 'Q2 (Q2)' where the pattern was misapplied; additionally the subtitle text 'Second quarter results...' has incorrect casing ('Second quarter' instead of 'Second Quarter') and the table header still shows 'Q2' instead of 'Second Quarter', while slides 1-4 appear correct. | Multiple critical failures: Prediction slide 6 shows severe title overlap with 'Revenues' garbled; Prediction slide 7 and 8 fail to replace 'Q2' with 'Second Quarter' in chart legend labels (still shows 'Q2 YOY Var'); Prediction slide 9 is missing the 'Second Quarter 2019 A' x-axis label entirely; Prediction slide 12 is completely blank missing all content; the un-bolding instruction for slides 6, 7, 9 appears unverified/unapplied; and slide 9's title font size change to 32pt cannot be confirmed visually.",kimi-k2.6 (median of 3),210.866,
21,Case 21: Title Case Titles,"Content, Styling",/root/PPTArena/agent_bench/predictions/cua_claude37/case_021.pptx,1.00,0.00,"The prediction failed to capitalize any slide titles to Title Case across all 14 slides, leaving them in lowercase or mixed case (e.g., 'data science and informatics', 'who are we?', 'brief history of dsi', 'our workshops:', 'workshop Coordination', 'competing data science truths', 'Workshop design', 'workshop instructors', 'results of workshops', 'growth of dsi', 'results of growth'), with only partial exceptions like 'Workshop design' and 'workshop Coordination' that still don't match proper Title Case, while also introducing formatting corruption on slides 2, 3, 4, and 12 with broken text runs and incorrect bold/italic/underline properties.","The prediction incorrectly converts all slide titles to lowercase instead of Title Case, including 'data science and informatics: creating student led data science curricula', 'who are we?', 'brief history of dsi', 'what do we do?', and 'our workshops:', which is the opposite of the requested change and represents a major deviation from the ground truth. | Multiple critical failures: Prediction slide 6 is completely wrong (shows 'workshop Coordination' instead of 'Our Workshops:' with bullet points and image), Prediction slide 10 is missing all body content (bulleted list and subheading), and several titles are incorrectly lowercased ('workshop', 'competing data science truths', 'workshop instructors') rather than Title Case; additionally 'design' in slide 8 is lowercase when it should be 'Design'. | The prediction completely fails the instruction: slide titles are converted to lowercase instead of Title Case (e.g., 'results of workshops', 'growth of dsi', 'results of growth'), the acronym 'DSI' is incorrectly lowercased to 'dsi', and most critically, the slides are severely misaligned—Prediction slide 11 shows Ground Truth slide 12's content, slide 12 shows slide 13's content, slide 13 shows slide 14's content, slide 14 shows slide 15's content, and slide 15 shows a completely different 'Contact' slide not present in the Ground Truth batch, meaning the entire slide sequence is shifted and one original slide ('Workshop Instructors') is entirely missing.",kimi-k2.6 (median of 3),261.347,
42,Case 42: Organize Research Poster,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_claude37/case_042.pptx,5.00,5.00,"The only differences between prediction and ground_truth are minor dimensional variations in Group 51 (height: 91.85 vs 88.10, width: 917.52 vs 722.16), which represent negligible sizing adjustments that do not affect the four-column layout structure, column ordering, content grouping, or semantic organization required by the instruction; the prediction successfully achieves the clean four-column layout with correct headings and properly arranged content.","The Prediction slide matches the Ground Truth almost exactly: the four-column layout is correctly implemented with proper headings (Abstract, Materials, Results/Data Analysis, Conclusion), all content is grouped logically within each column, the header section with title, subtitle, and contributors remains unchanged at the top, and all charts, tables, text boxes, and the Callout Box are present with consistent styling and no overlapping elements.",kimi-k2.6 (median of 3),49.197,
44,Case 44: Match Flag to Text,Content,/root/PPTArena/agent_bench/predictions/cua_claude37/case_044.pptx,2.00,1.00,"The prediction failed to create the flag-text pairings entirely: instead of placing flags next to their corresponding descriptions, it removed all four text boxes containing the region descriptions (East Africa, West Africa, Southern Africa, North Africa) and left only the 'Regional' heading with empty paragraphs, losing all semantic content needed to match flags to descriptions; the extra flag deletion and flag rearrangement cannot be verified as successful since the descriptive text pairings are completely missing.","The prediction removed all four region text descriptions (EAST AFRICA, WEST AFRICA, NORTH AFRICA, SOUTHERN AFRICA) that were supposed to be paired with the flags, leaving only unlabeled flags with no way to identify which region each flag represents, which fundamentally breaks the core instruction of placing each flag next to its corresponding description.",kimi-k2.6 (median of 3),26.916,
