case_index,case_name,category,prediction,instruction_following_score,visual_quality_score,instruction_following_reason,visual_quality_reason,judge_model,judge_time_seconds,errors
4,Case 4: Increase Font Size on Slide 8,"Content, Styling",/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_004.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
2,Case 2: Fix Misspellings,Content,/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_002.pptx,5.00,5.00,"The prediction correctly identifies and fixes all specified spelling errors across the presentation, achieving the exact same semantic outcome as the ground truth despite minor internal representation differences in text runs.","The prediction perfectly matches the ground truth across all five slides, with correct spelling (e.g., 'Businesses', 'successes', 'hazards'), identical fonts, colors, layouts, and graphics preserved without any unintended changes. | The prediction perfectly matches the ground truth in content and layout, with all specified spelling errors corrected and original formatting preserved.",qwen/qwen3.7-plus (median of 3),255.927,
7,Case 7: Update Quarter Two Data (B),Content,/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_007.pptx,1.00,1.00,"The prediction failed to replace multiple instances of 'Q2' (Slides 5, 7, 8), failed to un-bold text on Slide 7, and critically altered the layout, text content, and structure of Slide 9 instead of just changing the title font size.","The prediction exhibits severe content corruption on Slide 5, where the title is duplicated as 'Second Quarter (Second Quarter)' and the subtitle text overlaps with the chart, rendering it unreadable. | The prediction failed to replace 'Q2' with 'Second Quarter' in the chart legends on slides 7 and 8, and significant text overlap/corruption occurred in the x-axis labels of the charts on slides 6 and 9.",qwen/qwen3.7-plus (median of 3),403.846,
3,Case 3: Add Footer Text Box,"Content, Layout",/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_003.pptx,5.00,0.00,The prediction correctly added the required source citation text to slide 5; the differences in position and size are minor variations within the acceptable flexibility defined by the rubric (exact positions/sizes don't matter unless explicitly required).,"The prediction correctly adds the requested source citation 'Source: www.VerifyMe.com' to the bottom-left footer of slide 5, maintaining perfect visual consistency with the ground truth in terms of font, size, color, and positioning relative to the logo and divider line. | The prediction deck is missing Slide 5 ('Strategic Snapshot') entirely, failing to apply the requested source citation or preserve any content on that slide. | The prediction perfectly matches the ground truth for all corresponding slides, with the citation 'www.VerifyMe.com' correctly added to the footer of Slides 11 and 12 and all other content preserved identically.",qwen/qwen3.7-plus (median of 3),431.739,
10,Case 10: Italicize Subheadings (A),"Content, Styling",/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_010.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
8,Case 8: Summarize Paragraphs,Content,/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_008.pptx,5.00,5.00,"The prediction successfully summarized the text on slides 2 through 9 into single, concise paragraphs that accurately reflect the key points of the original content, achieving the same semantic outcome as the ground truth despite minor wording variations.","The prediction perfectly preserves the layout, fonts, colors, and logos of the title slide while successfully replacing the text blocks on subsequent slides with concise, correctly formatted single-paragraph summaries. | The prediction perfectly preserves the slide template, fonts, colors, logos, and layout structure while correctly replacing the source text with concise, single-paragraph summaries that match the semantic intent and formatting requirements of the ground truth.",qwen/qwen3.7-plus (median of 3),299.576,
5,Case 5: Change Body Text Font to Arial,"Content, Styling",/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_005.pptx,1.00,2.00,"The prediction failed to apply the Arial font to body text on Slide 6 (showing 'None' instead of 'Arial') and incorrectly changed the font of title-like elements on Slide 20, violating the exclusion criteria.","The prediction preserves the original slide layout, text content, font sizes, and emphasis exactly as seen in the ground truth, with no unintended visual changes or overlaps. | The prediction perfectly preserves all visual elements, layout, colors, and typography of the ground truth slides, with no unintended changes or deviations. | The prediction fails to preserve the slide sequence and content of the ground truth; it omits the 'Similarity in IBD' slide entirely and incorrectly duplicates the 'What must be present...' slide three times with varying highlighted bullets, resulting in a completely different deck structure.",qwen/qwen3.7-plus (median of 3),596.346,
12,Case 12: Stock Photo Cleanup,"Content, Layout",/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_012.pptx,1.00,2.00,"The prediction failed to provide the specific captions required by the ground truth (e.g., 'Black and white image of deer') and incorrectly swapped the text descriptions between the images, while also missing specific formatting requirements like font and bolding.","The prediction uses completely different captions than the mandatory text specified in the style target (e.g., 'A pair of deer...' instead of 'Black and white image of deer'), and adopts a generic horizontal grid layout rather than the requested sleek diagonal stack.",qwen/qwen3.7-plus (median of 3),25.961,
6,Case 6: Update Quarter Two Data (A),Content,/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_006.pptx,2.00,1.00,"The prediction updated the text content but failed to adjust font sizes or shape dimensions to accommodate the longer text, resulting in layout issues and ignoring the implicit requirement to maintain visibility and formatting.","While the text replacement was attempted on Slide 5, the layout was not adjusted to fit the longer phrase 'Second Quarter', resulting in severe text wrapping and overlap with the chart data (93,7%) that renders the slide unreadable. | The 'Second Quarter' text is severely mispositioned in the center of the slide, overlapping the central graphics and obscuring the bullet points, whereas the Ground Truth places it clearly in the top-right corner. | The prediction fails to update the 'Q2' label to 'Second Quarter' on the bar chart in Prediction Slide 11 (Ground Truth Slide 12), leaving the original text intact despite the instruction to change all instances.",qwen/qwen3.7-plus (median of 3),668.896,
1,Case 1: Translate to English But Keep French,Content,/root/PPTArena/agent_bench/predictions/opencode_deepseek_v4/case_001.pptx,1.00,1.00,"The prediction fails to preserve French text, incorrectly translating or fragmenting French phrases on multiple slides (e.g., Slides 1, 2, 4, 5, 8) contrary to the explicit instruction to leave them exactly as they are.","The prediction maintains the exact layout, fonts, and styling of the non-requested content across all slides while correctly translating the specified Kazakh text to English and preserving the French text. | The prediction has a severe slide ordering mismatch (Prediction Slide 6 contains the content of Ground Truth Slide 7), and the text in the tables (Prediction Slide 8 vs Ground Truth Slide 9) is converted to lowercase, deviating from the capitalization preserved in the Ground Truth. | The prediction exhibits severe structural deviations, including a complete slide ordering mismatch (e.g., the URL slide appears first instead of fifth) and the inclusion of an extra, unrequested slide (Slide 15) that is absent from the ground truth.",qwen/qwen3.7-plus (median of 3),701.796,
