case_index,case_name,category,prediction,instruction_following_score,visual_quality_score,instruction_following_reason,visual_quality_reason,judge_model,judge_time_seconds,errors
21,Case 21: Title Case Titles,"Content, Styling",/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_021.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
6,Case 6: Update Quarter Two Data (A),Content,/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_006.pptx,0.00,0.00,"Artifact prep error: ""no member '/[Content_Types].xml' in package""","Artifact prep error: ""no member '/[Content_Types].xml' in package""",qwen/qwen3.7-plus (median of 3),0.000,"Artifact prep error: ""no member '/[Content_Types].xml' in package"""
27,Case 27: Correct Images,Content,/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_027.pptx,4.00,1.00,"The prediction successfully resized all three placeholders to a uniform size, aligned them horizontally, and positioned each above its corresponding label, achieving the semantic intent of the instruction despite minor numerical deviations in dimensions and position compared to the ground truth.","The prediction fails to align images with their corresponding labels; the baseball image is placed above 'SHARK', the shark image above 'CAR', and the car image above 'BASEBALL', creating a complete semantic mismatch despite uniform sizing.",qwen/qwen3.7-plus (median of 3),22.384,
12,Case 12: Stock Photo Cleanup,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_012.pptx,1.00,1.00,"The prediction failed to add the required specific captions ('Black and white image of deer', etc.) as text boxes and instead replaced the images with placeholders containing unrelated text, missing the core requirement of the instruction.","The prediction completely fails to follow the specific captioning instructions, using generic placeholder text ('Professional Stock Photography', etc.) instead of the required descriptions ('Black and white image of deer', 'Giraffes in the wild', 'Football on grass'), and includes an unwanted title slide.",qwen/qwen3.7-plus (median of 3),24.479,
16,Case 16: Curate Multi-Panel Photo Layout,"Layout, Content",/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_016.pptx,2.00,2.00,"The prediction failed to align the photos into a unified horizontal row; the photos are placed at incorrect, non-sequential horizontal positions (689, 90, 390) rather than the clean left-to-center-to-right arrangement required, and the slide background fill was not changed to solid as instructed.","The three photos on slide 2 are misplaced and mismatched with their labels (e.g., the staircase image is under 'WATERFALL', chess under 'STAIRCASE', and waterfall under 'CHESS'), violating the semantic requirement that each photo sit directly above its corresponding label.",qwen/qwen3.7-plus (median of 3),24.319,
17,Case 17: Build Ensemble Category Boards,"Layout, Styling",/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_017.pptx,2.00,4.00,"The prediction fails to achieve the semantic intent by misidentifying object types on Slide 2 (converting photos to shapes and vice versa, resulting in missing or misplaced images) and arranging Slide 1 with incorrect dimensions and layout structure compared to the required dynamic collage.","Slide 1 fails to implement the requested 'strong diagonal division' and dynamic asymmetry, instead using a standard rectilinear grid layout; however, Slide 2 correctly executes the gallery style with appropriate spacing and framing.",qwen/qwen3.7-plus (median of 3),34.783,
28,Case 28: Fix Slide Order and Agenda,Structure,/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_028.pptx,1.00,0.00,"The prediction completely failed to reorder the slides or update the agenda; it retained the original chaotic order and changed slide layouts to a generic 'Title and Content' format, contradicting the ground truth's logical structure.","The prediction completely discarded the original slide design (images, teal accents, layout) and replaced it with a generic text-only template, violating the instruction to preserve non-requested content.",qwen/qwen3.7-plus (median of 3),139.158,
42,Case 42: Organize Research Poster,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_042.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,qwen/qwen3.7-plus (median of 3),0.000,Prediction PPTX missing for this case.
44,Case 44: Match Flag to Text,Content,/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_044.pptx,2.00,1.00,"The prediction failed to create the requested flag-text pairings; it retained the bulleted list as raw text in the content placeholder and placed isolated region labels next to flags, missing the specific descriptions required by the instruction.","The prediction fails to follow the instruction to place flags next to their corresponding descriptions; instead, it retains the text as a list and places the flags in a separate row at the bottom, and it also omits the header images (map and seal) present in the ground truth.",qwen/qwen3.7-plus (median of 3),21.339,
46,Case 46: Convert Text & Arrows to SmartArt,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_046.pptx,3.00,1.00,"The prediction successfully organized the stakeholder text boxes into a structured diagram centered around the person icon, but it failed to preserve the main slide title ('Who’s Involved?') by replacing it with 'YOU' and did not correctly handle the title placeholder semantics.","The prediction fails to preserve the required orange theme and main title, changes the central icon to a text-only 'YOU' circle instead of a person icon, retains the forbidden 'YOU' text, and truncates the text in the bottom-right node.",qwen/qwen3.7-plus (median of 3),22.679,
