case_index,case_name,category,prediction,instruction_following_score,visual_quality_score,instruction_following_reason,visual_quality_reason,judge_model,judge_time_seconds,errors
21,Case 21: Title Case Titles,"Content, Styling",/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_021.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
6,Case 6: Update Quarter Two Data (A),Content,/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_006.pptx,0.00,0.00,"Artifact prep error: ""no member '/[Content_Types].xml' in package""","Artifact prep error: ""no member '/[Content_Types].xml' in package""",kimi-k2.6 (median of 3),0.000,"Artifact prep error: ""no member '/[Content_Types].xml' in package"""
12,Case 12: Stock Photo Cleanup,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_012.pptx,1.00,1.00,"The prediction completely failed to follow the instruction: instead of adding captions to the existing three images on Slide 1 ('Black and white image of deer', 'Giraffes in the wild', 'Football on grass'), it replaced all images with title/subtitle placeholders and created an entirely new Slide 2 with generic unrelated images and captions ('Professional Stock Photography', 'High-Quality Visual Content', 'Premium Image Collection') that do not describe the original photos at all.","The Prediction completely fails to match the Ground Truth: it introduces an unnecessary title slide (Slide 1) not present in Ground Truth, and Slide 2 uses a horizontal grid layout instead of the diagonal panel layout, with entirely wrong captions ('Professional Stock Photography', 'High-Quality Visual Content', 'Premium Image Collection') instead of the required specific descriptions ('Giraffes in the wild', 'Football on grass', 'Black and white image of deer'), while also adding extraneous text elements like subtitle labels and a footer not in the original.",kimi-k2.6 (median of 3),49.253,
27,Case 27: Correct Images,Content,/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_027.pptx,1.00,1.00,"The prediction completely scrambled the layout: picture placeholders were swapped so each image is above the WRONG text label (e.g., the leftmost picture at x=86.3 is above the 'shark' text at x=637.5 instead of above its own label), and the horizontal alignment between pictures and their corresponding labels is broken—the pictures are at x≈86, 361, 637 while their labels are at x≈638, 362, 637, meaning only the middle pair is roughly aligned while the left and right pairs are severely misaligned, directly contradicting the instruction to position each picture 'directly above its corresponding text label.'","The images are horizontally aligned and same-sized, but critically misaligned with their labels: the baseball image is above 'SHARK', the shark image is above 'CAR', and the car image is above 'BASEBALL', completely violating the instruction that each picture must be directly above its corresponding text label.",kimi-k2.6 (median of 3),37.168,
17,Case 17: Build Ensemble Category Boards,"Layout, Styling",/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_017.pptx,1.00,2.00,"The prediction fundamentally fails both slides: Slide 1 has incorrect photo positioning (cheetah at 30.24,30.24 instead of top-left edge, tiger at 509.76,30.24 instead of full right column, lion and kitten swapped in wrong quadrants with incorrect sizes) and lacks the required diagonal white gap composition; Slide 2 uses a 2A2A2A background instead of charcoal, creates incorrect rectangle shapes instead of proper photo cards with white outlines, misplaces all four landscape photos (all clustered in wrong positions rather than a centered 2×2 grid with even margins), and fails to create the gallery card structure with thin white outlines and proper photo padding.","Slide 1 fails the dynamic asymmetrical collage requirement: the cheetah is not a wide horizontal strip, the tiger does not span full height as a right column, and there is no strong diagonal white gap division—instead it's a basic 2×2 grid with a tall right column; Slide 2 incorrectly adds nested double white borders around the entire grid and individual cards rather than thin white outlines per card, and the photos touch their inner borders directly with no padding, deviating from the gallery card matting specification.",kimi-k2.6 (median of 3),44.130,
16,Case 16: Curate Multi-Panel Photo Layout,"Layout, Content",/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_016.pptx,2.00,1.00,"The prediction made critical errors on Slide 2: all three photos were resized to only 180pt × 180pt instead of ~230pt (outside the ±5pt tolerance), their top edges are misaligned at 144pt instead of the required ~135pt (outside ±1pt tolerance), and their horizontal positions are completely wrong—WATERFALL and CHESS are swapped (WATERFALL at 689.76pt right, CHESS at 390.24pt center, STAIRCASE at 90.0pt left) rather than forming a left-to-right WATERFALL-STAIRCASE-CHESS triptych above their labels; additionally, the slide background remains BACKGROUND (5) instead of being changed to SOLID (1) fill as instructed.","The three photos are swapped to wrong positions—WATERFALL label sits under the STAIRCASE photo, STAIRCASE label under the CHESS photo, and CHESS label under the WATERFALL photo—breaking the critical requirement that each photo must sit directly above its corresponding label; additionally, the photos appear to have unequal sizes and slightly misaligned top edges.",kimi-k2.6 (median of 3),66.613,
28,Case 28: Fix Slide Order and Agenda,Structure,/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_028.pptx,1.00,1.00,"The prediction completely failed to follow the instruction: instead of reordering existing slides and updating the agenda list to match, it created entirely new slides with fabricated content, changed all slide layouts to generic 'Title and Content' templates, lost all original formatting including date/slide number placeholders and picture placeholders, added non-existent slides like 'References', and destroyed the original presentation structure; the ground truth preserved original slide content and formatting while simply reordering slides to Agenda→Visual Appeal→Engaging Audience→Effective Delivery→Conclusion→Q&A with matching agenda bullets and updated slide numbers.","The prediction deck has completely lost the original visual design: all slides are plain black text on white background with no images, teal accents, colored sidebars, or graphical elements; the title slide 'Effective Presentation Skills' is an unrequested addition; the Q&A slide is missing entirely and replaced with a 'References' slide; footer slide numbers and date formatting are gone; and content has been restructured into bullet points with altered formatting (e.g., 'Key techniques:' added, URLs moved to a separate references slide) rather than preserving the original slide layouts and visual styling.",kimi-k2.6 (median of 3),137.229,
42,Case 42: Organize Research Poster,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_042.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
44,Case 44: Match Flag to Text,Content,/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_044.pptx,1.00,2.00,"The prediction completely failed to follow the instruction: it retained the original bulleted list in the content area instead of removing it, created generic region labels (EAST, WEST, NORTH, SOUTHERN) rather than pairing each flag with its full corresponding description, failed to properly match flags to their descriptions, and did not achieve the organized flag-text pairings seen in the ground truth where each flag is placed next to its specific regional liaison text (e.g., 'EAST AFRICA - Kenyan Competition Authority').","The prediction removed the two header images (Africa map and FTC seal), failed to pair flags with their full text descriptions (instead keeping the bulleted list separate and using only abbreviated region labels below flags), and did not delete the duplicate South African flag as required by the style target, resulting in significant structural and content deviations from the ground truth.",kimi-k2.6 (median of 3),27.866,
30,Case 30: Convert Text Data to a Line Chart,Content,/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_030.pptx,1.00,1.00,"The prediction completely failed to follow the instruction: instead of creating a line chart with markers and custom legend on slide 8, it replaced the text placeholder with a static image (Picture 3) and removed the chart, custom legend group, and title text box that the ground truth created; additionally, the prediction made numerous unintended text deletions across slides 2-9 that were not requested.","The instruction requested converting text data on slide 8 into a line chart with markers and a custom legend, but the prediction deck only contains 5 slides (vs. ground truth's 5 slides) with no slide 8 present, and the prediction's slide 5 shows completely different content (a bar chart about workers/poverty/non-citizens) instead of the requested line chart with uninsured rates data, indicating the task was not performed at all. | The prediction slide 8 contains a line chart with markers, but uses an embedded automatic legend instead of a custom-built legend positioned to the right of the chart as required; the data values also appear inaccurate (e.g., NHOPI shown as ~18% in 2013 vs. ground truth's ~17.5% with asterisk, Asian as ~16% vs. ~15%, White as ~12% vs. ~12%), the color scheme differs significantly from the ground truth (blue/orange/green instead of dark blue/blue/gray), and the subtitle 'UNINSURED RATE AMONG NONELDERLY INDIVIDUALS, 2013-2017' is missing from the prediction.",kimi-k2.6 (median of 3),142.958,
7,Case 7: Update Quarter Two Data (B),Content,/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_007.pptx,1.00,1.00,"The prediction failed on all three main requirements: (1) Q2 replacements were missed on slides 5 and 8, and casing was wrong on slides 6 and 9 ('Second Quarter' instead of 'second quarter' mid-sentence); (2) slide 9's title font size was not changed to 32pt; (3) while some un-bolding occurred on slides 6, 7, and 9, the prediction also introduced severe structural corruption on slide 9 where text boxes were swapped/misplaced (e.g., '$840M*' moved to wrong position, 'Three Months Ending June 30' displaced, 'Primary Variances' relocated), and chart names on slides 7-8 were not updated from 'Q2' to 'Second Quarter'.","The Q2 replacement was done incorrectly on slide 5, producing the redundant title 'Second Quarter (Second Quarter) NOI' instead of just 'Second Quarter NOI', and the subtitle still contains 'Q2' which was not replaced; additionally, the title color on slide 5 changed from dark blue to light blue, and the table data values differ from the Ground Truth (e.g., Gross Operating Revenues 2020 Actual shows $840 vs $2,160, indicating this is a different slide content entirely rather than the same slide with requested edits applied). | Multiple critical failures: Prediction slide 6 is missing the title entirely (shows only partial overlaid text from another slide), Prediction slide 9 is missing its title and shows overlaid text from another slide, Prediction slide 12 is completely blank missing all content, and the Q2-to-Second Quarter replacement was inconsistently applied (slides 7-8 show 'Q2' in legends instead of 'Second Quarter').",kimi-k2.6 (median of 3),204.755,
46,Case 46: Convert Text & Arrows to SmartArt,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_046.pptx,2.00,1.00,"The prediction created a structured diagram with rounded rectangles and connectors around a central element, preserving most stakeholder text ('Content Consumers', 'IT and the Implementation Team', 'Current Users of Zinc MAPS', 'Senior Leaders', 'Creative Agencies'), but critically failed to preserve the main slide title 'Who's Involved?' (replacing it with 'YOU' in an oval), removed the person icon entirely (replacing it with a non-picture shape), and the central element appears to be missing or incorrectly implemented—the ground truth had a PICTURE type person icon while the prediction converted it to an AUTO_SHAPE with text, fundamentally breaking the 'centered around the person icon' requirement.","The prediction has major deviations: the title 'Who's Involved?' is missing, the person icon was replaced with a blue circle containing 'YOU' text (which should have been removed), the color scheme changed from orange to blue, the node text is truncated/incomplete ('MAPS (Originators and' is cut off, missing 'Reviewers)'), the layout uses orthogonal green connectors instead of arrows pointing toward center, and 'Current Users of Zinc MAPS' was split and corrupted. The diagram is legible but structurally and visually incorrect compared to the ground truth.",kimi-k2.6 (median of 3),37.500,
47,Case 47: Change Line Graph to Bar Graph,Content,/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_047.pptx,4.00,0.00,"The prediction successfully converted the line chart to a clustered column chart with preserved data and no legend as required, but incorrectly modified the slide number placeholder from '14' to '1' (ground truth shows '1', initial was '14')—this was an unnecessary extra edit beyond the instruction, though the core chart transformation was correct.","The chart is completely missing from the prediction slide; only the title text box, footer text, and logo remain, making the slide severely broken and failing the core instruction to convert the line chart to a clustered column chart.",kimi-k2.6 (median of 3),32.376,
40,Case 40: Hindu Center Titles,"Content, Layout",/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_040.pptx,0.00,2.00,"The prediction completely failed to horizontally center any of the main titles: on slides 1, 2, and 5, the text alignment remained LEFT instead of CENTER; on slides 5, 7, and 9, the left positions remained at their initial values instead of being moved to the horizontal center; and on slides 7 and 9, the top positions also remained at initial values rather than shifting to center horizontally, meaning no requested changes were actually implemented.","The prediction shows significant slide misalignment: Prediction Slide 1 matches Ground Truth Slide 2 (title centered), Prediction Slide 2 matches Ground Truth Slide 3 (title 'Peradaban India Kuno' left-aligned instead of centered as required for slide 2), Prediction Slide 3 matches Ground Truth Slide 4, Prediction Slide 4 matches Ground Truth Slide 5 (title 'Penduduk India' left-aligned instead of centered as required for slide 5), and Prediction Slide 5 shows a completely different slide ('AGAMA HINDU') not present in the ground truth batch, indicating the model failed to correctly identify and center titles on the specified slides 1, 2, and 5, and instead produced a mismatched slide sequence with incorrect content. | The prediction shows significant slide misalignment: Ground Truth slide 6 (KEBUDAYAAN HINDU) was replaced by Prediction slide 6 showing slide 7's caste system content, and this off-by-one error propagates through all slides, with Prediction slide 10 showing entirely new content not present in the Ground Truth batch, indicating the horizontal centering operation caused unintended structural damage to the deck ordering.",kimi-k2.6 (median of 3),180.919,
53,Case 53: Fill Table from Data,Content,/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_053.pptx,1.00,1.00,"The prediction completely failed to follow the instruction: instead of extracting financial data from the text box (Revenue/30% AMI Rents, Annual Actualized Income/$387,030, Annual Operating Expenses/($420,300), Annual Net Revenue/($33,270)), it populated tables with entirely wrong content (Taxes/$0, Debt Service/$100,000 or $0), failed to delete the original text box (which still contains the 4%/9% Tax Credits content), and created extra tables rather than filling the existing empty table, resulting in wrong data, wrong structure, and missing the core task entirely.","The prediction severely alters the slide structure by deleting the entire left-side text content (4% and 9% Tax Credits bullet points), misformats the table with incorrect row labels ('30% AMI Rents' instead of 'Revenue' as the header, missing 'Annual Actualized Income' row label), drops required parentheses around negative values ($420,300 and $33,270 instead of ($420,300) and ($33,270)), changes cell color assignments (green appears on wrong row), and leaves an empty yellow cell at the bottom, making the table structurally broken and semantically incorrect despite being somewhat legible.",kimi-k2.6 (median of 3),44.387,
34,Case 34: Lambda Replacement,Content,/root/PPTArena/agent_bench/predictions/cua_minimax_agent/case_034.pptx,1.00,1.00,"The prediction catastrophically failed both instructions: while it did replace 'Lambda' with 'λ' in some places (slides 12-18), it also completely destroyed the presentation's formatting structure by stripping all font properties (sizes, colors, bold, italic, underline), removing text run boundaries, and merging text across what were originally separate formatted segments; most egregiously, the prediction appears to have concatenated text from completely different slides or sources (e.g., 'PRESENTED BYK. RANJITHDEPARTMENT OF CHEMISTRYRESEARCH SCHOLAR' losing line breaks, and text content from slide 3 showing 'The branch of science dealing with the study of spectra is called spectroscopy...' as one block instead of properly formatted fragments), indicating massive structural corruption rather than proper consolidation of same-formatting runs.","Prediction slides 1 and 2 show severe text overlap and garbled rendering where characters are jumbled together (e.g., 'APPEICATIONS', 'RANJITHDEPARTM', 'INNMRENTQE', 'SPECTROSCOPYCHEMISTRYRESEA', 'RCH SCHOLAR'), indicating broken text consolidation; slide 3 has lost all colored text formatting (spectra, radiation, measurement, dispersion are now black instead of colored); slide 4 is missing the 'Dispersion' label below the prism; and slide 5 is a completely different slide not present in ground truth, while the actual ground truth slide 5 content is missing. | The prediction has severely scrambled the slide order (GT slide 6 is text about emission spectroscopy, but prediction slide 6 shows the diagram from GT slide 7; GT slide 7 is the diagram, but prediction slide 7 shows text from GT slide 8; GT slide 8 is classification text, but prediction slide 8 shows text from GT slide 9; GT slide 9 is absorption spectroscopy text, but prediction slide 9 shows the diagram from GT slide 10; and prediction slide 10 shows a completely new slide 'PRINCIPLE OF SPECTROSCOPY' not in the ground truth batch). Additionally, all colored text formatting (red/brown emphasis on words like 'emitted', 'emission spectrum', 'continuity of colours', 'specific wavelength', 'Line spectra or Atomic spectra', 'absorbs radiation') has been stripped to plain black text, and the underlined formatting on section headers has been removed. The 'ABSORPTION SPECTROSCOPY' bullet header lost its underline and bold formatting appears reduced. These are major unintended structural and stylistic changes to non-requested content. | The prediction has completely scrambled the slide order: Ground Truth slide 11 (Principle of Spectroscopy) is missing entirely, and the prediction shows slides in wrong positions with major content substitutions—e.g., prediction slide 11 shows GT slide 12's content but with broken formatting (items a-e in black instead of brown, 'WAVENUMBER' inexplicably colored brown/red), prediction slide 12 shows GT slide 13 but loses red underlined italic styling on 'What is wave?' and 'What is wave motion?' headers, prediction slide 15 introduces entirely new 'FREQUENCY (V)' content not present in any ground truth slide, and the 'Lambda' to 'λ' replacement requirement cannot be verified as the relevant slides appear to be missing or reordered.",kimi-k2.6 (median of 3),321.199,
