case_index,case_name,category,prediction,instruction_following_score,visual_quality_score,instruction_following_reason,visual_quality_reason,judge_model,judge_time_seconds,errors
34,Case 34: Lambda Replacement,Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_034.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
6,Case 6: Update Quarter Two Data (A),Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_006.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
28,Case 28: Fix Slide Order and Agenda,Structure,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_028.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
17,Case 17: Build Ensemble Category Boards,"Layout, Styling",/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_017.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
30,Case 30: Convert Text Data to a Line Chart,Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_030.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
7,Case 7: Update Quarter Two Data (B),Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_007.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
35,Case 35: Structural Fix,"Content, Styling",/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_035.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
40,Case 40: Hindu Center Titles,"Content, Layout",/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_040.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
42,Case 42: Organize Research Poster,"Content, Layout",/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_042.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
46,Case 46: Convert Text & Arrows to SmartArt,"Content, Layout",/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_046.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
47,Case 47: Change Line Graph to Bar Graph,Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_047.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
50,Case 50: Normalize Date Format,Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_050.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
53,Case 53: Fill Table from Data,Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_053.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
54,Case 54: Match Slide Deck Theme,Styling,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_054.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
57,Case 57: Add Water Mark,"Content, Styling",/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_057.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
67,Case 67: WCAG Accessibility & Master Cleanup,"Structure, Styling",/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_067.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
27,Case 27: Correct Images,Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_027.pptx,5.00,5.00,Prediction perfectly matches ground truth with no detectable differences.,"The Prediction matches Ground Truth Slide 2 exactly: all three picture placeholders are identically sized, horizontally aligned in a row, and each is positioned directly above its corresponding text label (SHARK, CAR, BASEBALL) with proper horizontal centering, while the title and labels remain unchanged with no overlapping elements.",kimi-k2.6 (median of 3),16.195,
89,Case 89: Fill in Animal Research poster,"Content, Layout",/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_089.pptx,0.00,0.00,Prediction PPTX missing for this case.,Prediction PPTX missing for this case.,kimi-k2.6 (median of 3),0.000,Prediction PPTX missing for this case.
44,Case 44: Match Flag to Text,Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_044.pptx,1.00,1.00,"The prediction completely failed to follow the instruction: it kept the original bulleted list intact instead of removing it, did not create any flag-text pairings, did not place flags next to their corresponding descriptions, and the flags remain scattered in their original mismatched positions at the bottom rather than being rearranged; the only change was adding 'Liaisons' to the heading and slightly repositioning some shapes without achieving any of the requested semantic restructuring.","The prediction fails to achieve the core instruction: flags remain mismatched (Kenya and Egypt flags are placed together without their corresponding text labels nearby, South Africa flag was not deleted), the original bulleted list was retained rather than removed/replaced with flag-text pairings, and the Nigeria and Zambia flags appear to be missing entirely while text is overlapped by flags at the bottom.",kimi-k2.6 (median of 3),27.412,
16,Case 16: Curate Multi-Panel Photo Layout,"Layout, Content",/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_016.pptx,1.00,1.00,"The prediction completely failed on Slide 2: the three photos were resized to only 189pt × 189pt (far below the ~230pt target), positioned at top 94.5pt instead of the required 135pt alignment, and placed at wrong horizontal positions (86.6pt, 315pt, 543pt vs. required 75pt, 354pt, 633pt) so they don't sit above their correct labels; additionally, the slide background remained BACKGROUND(5) instead of being changed to SOLID(1) as explicitly required, and the label text boxes were also incorrectly repositioned and resized.","The photos are in the wrong positions: WATERFALL shows the staircase image, STAIRCASE shows the chess image, and CHESS shows the waterfall image, directly violating the instruction that each photo must sit above its corresponding label; additionally, the blue frame decorations remain teal instead of the ground truth's blue, and the photos appear slightly smaller and positioned higher than the specified layout.",kimi-k2.6 (median of 3),30.023,
12,Case 12: Stock Photo Cleanup,"Content, Layout",/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_012.pptx,1.00,1.00,"The prediction completely fails to match the ground truth's semantic intent: captions describe entirely wrong content ('Serene mountain landscape with misty peaks' instead of 'Football on grass', 'Vibrant city skyline at golden hour sunset' instead of 'Giraffes in the wild', and 'Tranquil ocean waves on sandy shoreline' instead of 'Black and white image of deer'), images are resized to uniform small squares rather than maintaining a sleek panel gallery layout, and the caption positioning/type structure is fundamentally different from the required descriptive captions placed legibly on each corresponding photo.","The prediction uses completely incorrect captions that do not describe the actual images ('Serene mountain landscape' for deer, 'Vibrant city skyline' for giraffe, 'Tranquil ocean waves' for football), and while the horizontal panel layout is sleek, the captions are factually wrong which is a major semantic deviation from the instruction and ground truth.",kimi-k2.6 (median of 3),34.824,
92,Case 92: Avatar Circle Crop,Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_092.pptx,1.00,3.00,"The prediction completely failed to follow the instruction: the photos were not made circular (no oval shapes were created), they were not resized to 1.5 inches (108 points), they were not vertically aligned, and the text-photo pairings were scrambled—instead, the prediction merely rearranged existing elements and swapped positions of pictures and text boxes without any circular cropping or proper alignment, while the ground truth correctly created circular photos with oval shapes at 108x108 points vertically aligned with proper text pairing.","The photos are circular and vertically aligned, but Jamie's image content has changed from a white shirt to a light gray suit with tie, and Morgan's photo shows a different pose/crop with arm position altered; additionally the vertical positioning of all three photos is slightly lower on the slide compared to ground truth, and the photos appear slightly larger than the specified 1.5 inches.",kimi-k2.6 (median of 3),23.770,
97,Case 97: LaTeX to Office Math (OMML),Content,/root/PPTArena/agent_bench/predictions/pptpilot_kimi_k26/case_097.pptx,1.00,0.00,"The prediction completely failed to convert any mathematical equations into editable math objects on either slide; instead, it merely rearranged existing text elements and swapped positions of shapes (e.g., moving hyperlink footnotes between text boxes and pictures) while leaving all equation representations like 'x^{n} + y^{n} = z^{n}', 'a^{2} + b^{2} = c^{2}', '3^{2} + 4^{2} = 5^{2}', '\frac{1}{2}', and '\alpha^{2}' as raw unformatted text rather than creating proper math objects as required by the instruction.","The prediction completely failed to convert any mathematical equations into math objects and instead deleted all mathematical content: on slide 2, the equation 'x^n + y^n = z^n, n > 2' and the values 'n = 3' and 'n = 4' are missing; on slide 3, the entire bullet list of four equations (a^2 + b^2 = c^2, 3^2 + 4^2 = 5^2, 1/2, and α^2) and 'n = 2' are deleted, leaving only partial sentences with gaps.",kimi-k2.6 (median of 3),37.211,
