case_index,case_name,category,prediction,instruction_following_score,visual_quality_score,instruction_following_reason,visual_quality_reason,judge_model,judge_time_seconds,errors
1,Case 1: Translate to English But Keep French,Content,agent_bench/predictions/dumate_pptx_skill_r266_latest100/case_001.pptx,2.00,3.00,"The prediction severely corrupted French text across multiple slides (Slides 1, 2, 10, 13, 15, 16) by splitting words into incorrect segments or omitting characters (e.g., 'A la leçon de français' became 'A la leçon de français' with broken runs, 'Quelle date somme-nous aujourd'hui?' became scrambled), made incorrect translations on Slide 4 ('meal, a diet' became 'food, groceries - foodstuffs'), Slide 5 ('The purpose of the lesson' became 'Lesson objective', 'cooking' became 'kitchen'), and Slide 6 ('classification' became 'conjugation', 'Feedback' became 'feed back'), introduced malformed formatting on Slide 10 ('dining room(in)' instead of 'in the dining hall'), and failed to preserve font properties on Slide 8 (lost Times New Roman font names). While some Kazakh-to-English translations were approximately correct, the extensive damage to preserved French text and numerous semantic translation errors represent substantial failure to follow the core instruction.","Multiple slides show translation errors and formatting changes: Slide 4 has incorrect translation ('food, groceries - foodstuffs' vs 'meal, a diet'), Slide 5 changed 'The purpose of the lesson:' to 'Lesson objective:' and altered the paragraph text, Slide 6 changed 'classification' to 'conjugation' and removed proper spacing after periods, Slide 8 changed 'Cafe' to 'coffee' and altered capitalization of English words (bread, salt, sugar, etc. became lowercase), and Slide 10 restructured translations by moving prepositions to parentheses after nouns instead of preserving the original phrasing; however, layouts remain intact with no overlaps and all elements are readable.",kimi-k2.6 (median of 3),270.330,
2,Case 2: Fix Misspellings,Content,agent_bench/predictions/dumate_pptx_skill_r266_latest100/case_002.pptx,5.00,5.00,"The prediction correctly corrected all identified spelling errors throughout the presentation ('Buisneses' to 'Businesses', 'suceses' to 'successes', 'porgrams' to 'programs', 'saftey' to 'safety', 'hazaards' to 'hazards', 'sustainablity' to 'sustainability', 'enerjize' to 'energize', 'valuble' to 'valuable', 'encuraged' to 'encouraged', 'communicat' to 'communicate', 'onhoing' to 'ongoing', 'sourcea' to 'sources', 'ilneses' to 'illnesses', 'Cusromize' to 'Customize', 'preswntation' to 'presentation'), with the diff showing only run-level formatting differences where the prediction split text into separate runs rather than keeping unified runs—this is a trivial implementation detail that does not affect semantic content, formatting appearance, or layout.","All spelling corrections have been properly applied across all slides (e.g., 'Buisneses'→'Businesses', 'suceses'→'successes', 'porgrams'→'programs', 'saftey'→'safety', 'hazaards'→'hazards', 'sustainablity'→'sustainability', 'enerjize'→'energize') with original formatting, fonts, colors, and layout positions preserved exactly; no unintended visual changes are present.",kimi-k2.6 (median of 3),124.593,
3,Case 3: Add Footer Text Box,"Content, Layout",agent_bench/predictions/dumate_pptx_skill_r266_latest100/case_003.pptx,4.00,4.00,"The prediction successfully added the source citation 'Source: www.VerifyMe.com' at the bottom of slide 5, matching the core semantic intent; however, it used an AUTO_SHAPE instead of a TEXT_BOX, and the dimensions differ (27.0x360.0 vs 18.0x888.0), which may affect positioning and wrapping behavior, though the text content itself is correct.","The source citation text 'Source: www.VerifyMe.com' is present and readable in the footer area, but it is positioned at the bottom-left overlapping the small corner logo icon more substantially than in the Ground Truth where it was centered; all other slide elements remain unchanged.",kimi-k2.6 (median of 3),131.801,
4,Case 4: Increase Font Size on Slide 8,"Content, Styling",agent_bench/predictions/dumate_pptx_skill_r266_latest100/case_004.pptx,3.00,0.00,"The prediction increased font sizes on slide 8 and preserved the main title, but failed to enable 'resize shape to fit text' for TextBox 43 and TextBox 44, leaving their heights unchanged from initial (58.16 and 79.97) instead of expanding them to match ground truth (63.01 and 87.24), which means the enlarged text is not properly contained or readable as required.","The Prediction appears identical to the Ground Truth with no visible font size increase applied to any text elements; the subtitle '(for object located outside F)', body text 'Object distance (s)', 'Object height (h)', 'Image distance (s')', 'Image height (h')', the 'Focal length is called positive' box, the gray description text box, and the bullet points 'Inverted', 'Real', 'Can be reduced or enlarged' all appear unchanged in size, indicating the instruction to increase font size by 2 points was not executed.",kimi-k2.6 (median of 3),397.735,
5,Case 5: Change Body Text Font to Arial,"Content, Styling",agent_bench/predictions/dumate_pptx_skill_r266_latest100/case_005.pptx,0.00,5.00,"The prediction completely failed to change any body text fonts to Arial across all 20 slides, with every font_name showing as 'None' instead of 'Arial' in the prediction, while the ground truth correctly applied Arial to all body text elements; additionally, the prediction introduced several unintended layout changes (position, height, width, column_width, line_spacing) that were not part of the instruction, indicating the model either made no changes or made incorrect changes rather than following the font change requirement.","The Prediction slides are visually identical to the Ground Truth slides across all provided images (slides 6, 10, 14, 18, 19, 20); all body text fonts, sizes, colors, positions, table structures, and layouts are preserved with no unintended changes, and the title fonts remain unchanged as required.",kimi-k2.6 (median of 3),191.928,
6,Case 6: Update Quarter Two Data (A),Content,agent_bench/predictions/dumate_pptx_skill_r266_latest100/case_006.pptx,2.00,4.00,"The prediction failed to follow critical requirements from the instruction: on slides 6-9 and 17, it used single-line 'Second Quarter' at original 36pt/24pt font sizes instead of the ground truth's two-line stacked format with reduced 28pt/16pt fonts, causing oversized text that doesn't match the deck's established 'Q1'/'Q3' label style; on slides 5 and 12, it kept the original 36pt font instead of reducing to 32pt; and the prediction's shapes have incorrect dimensions and positions compared to the properly resized and repositioned ground truth shapes, indicating the text likely extends past boundaries or overlaps with other elements.","All 'Q2' instances are correctly replaced with 'Second Quarter' across slides 5, 6, 7, 8, 9, 12, and 16 with preserved fonts and colors; however, on slides 6-9 the 'Second Quarter' text is positioned closer to the chevron arrows and slightly higher than in the ground truth, and on slide 16 the 'Second Quarter' label is shifted leftward compared to the ground truth's more centered alignment above the second circle.",kimi-k2.6 (median of 3),217.842,
7,Case 7: Update Quarter Two Data (B),Content,agent_bench/predictions/dumate_pptx_skill_r266_latest100/case_007.pptx,1.00,4.00,"The prediction completely corrupted slide 9 by swapping text boxes and their properties (Title 1 became '$840M*' with wrong formatting, TextBox 37 became 'Three Months Ending June 30', etc.), failed to set the slide 9 title to 32pt (it's 22pt), incorrectly replaced 'Q2' with 'Second Quarter' in 'Second Quarter (Q2) NOI' on slide 5 producing 'Second Quarter NOI' instead of 'Second Quarter (Second Quarter) NOI', and on slide 6 truncated the text by removing 'attributable to COVID-19 related reductions' while also failing to properly un-bold the x-axis labels.","The prediction correctly replaces all 'Q2' instances with 'Second Quarter' and un-bolds text on slides 6, 7, and 9 as required, but the title font size on slide 9 appears unchanged from the original rather than increased to 32pt as specified in the instructions.",kimi-k2.6 (median of 3),148.651,
8,Case 8: Summarize Paragraphs,Content,agent_bench/predictions/dumate_pptx_skill_r266_latest100/case_008.pptx,3.00,4.00,"The prediction successfully summarized the large text blocks on slides 2-9 into single paragraphs and preserved slide titles and slide 1 content, but it introduced significant semantic deviations from the ground truth: on slide 2, it omitted 'future discussions will cover priority pathogens and randomized evidence generation'; on slide 4, it added extensive technical details about hybridoma/phage display evolution and 'correlates of protection' not in the original; on slide 5, it added specific immune components (interferons, MHCs, cytokines, chimeric antibodies) and reporter viruses; on slide 8, it added 'recognizing animal model limitations,' 'reliable AI tools for structural analysis,' and 'trained global public-sector workforce'; and on slide 9, it replaced the global consortium initiative with TPPs and omitted the interpandemic period focus, demonstrating that while the format was correct, the summarizations were often more expansive and included details not present in or emphasized by the original text, failing to consistently capture the same key points as the ground truth.","The Prediction slides match the Ground Truth in overall structure, layout, fonts, colors, and positioning of titles/logos, but the summary text content differs semantically across all slides (e.g., Slide 2 adds 'epidemic,' Slide 3 changes 'under 8 hours' to 'within 8 hours of sample receipt,' Slide 4 adds extra technical details about tropism and hybridoma, Slide 5 expands with immune components like interferons/MHCs/cytokines, Slide 6 adds 'pathogen X' and single-cell analysis) while remaining readable and well-formatted as single paragraphs. | All three prediction slides maintain identical visual structure to the ground truth: same slide titles, same single-paragraph summary format with consistent dark blue text on light background, same footer logos and page numbers, and no unintended changes to non-requested content; the only differences are in the specific summary wording which is semantically equivalent and acceptable as a valid alternative summary.",kimi-k2.6 (median of 3),143.903,
9,Case 9: Shorten Bullet Points,Content,agent_bench/predictions/dumate_pptx_skill_r266_latest100/case_009.pptx,3.00,3.00,"The prediction made significant errors: on slide 4, it failed to shorten the first paragraph at all (keeping ~28 words instead of condensing to ~10), and on slide 5 it incorrectly removed 'to strengthen' from the introductory sentence while leaving the longer 'Public Health Crisis Response' prefix intact; while slides 7-10 show reasonable conciseness efforts, the failure to meaningfully shorten slide 4's paragraphs and the incorrect edit on slide 5 demonstrate incomplete execution of the core instruction.","The Prediction fails to meet the conciseness requirement on multiple slides: Slide 4's first bullet is substantially longer than the Ground Truth (30+ words vs. 11 words) and adds unsanctioned details; Slide 5's introductory sentence was edited when it should remain intact per the Style Target; Slides 7-9 show some shortening but not to the ~10-word target; Slide 10 adds unsanctioned text ('coordinated by DBHDS,' 'in high-risk communities') while the funding amount is correctly preserved. The text color is black instead of the Ground Truth's gray, but per the rubric this should not be penalized; however, the semantic deviations from the editing instructions are significant.",kimi-k2.6 (median of 3),164.746,
10,Case 10: Italicize Subheadings (A),"Content, Styling",agent_bench/predictions/dumate_pptx_skill_r266_latest100/case_010.pptx,2.00,2.00,"The prediction massively over-applied italicization: it italicized text in tables across 10+ slides (Slides 24, 27, 31, 33, 35, 38, 39, 53, 60, 64) and text in content placeholders on several slides (18, 20, 41, 57, 58, 62) that the ground truth explicitly left non-italic, while also failing to match the ground truth's more nuanced approach where indented sub-bullets and certain content types were preserved as non-italic; the instruction asked to italicize 'main content boxes' but the prediction applied it indiscriminately to tables and other elements that the ground truth treated differently.","The prediction incorrectly italicizes the main slide titles on slide 25 ('ASSESSING FUNCTIONAL COMPETENCIES' and 'Step 1: Identify Functional Competencies'), which violates the instruction to not change main slide titles; additionally, on slide 24, table header labels that were bold in the ground truth are now italicized, and on slide 18, the sub-bullets under 'VI – Other Requirements' are incorrectly italicized when they should remain non-italic per the style target. | The prediction correctly italicizes main content text in most slides, but fails to italicize the blue heading text in slides 31 and 33 ('Column 2...' and 'In column 3...') which are part of main content boxes and should be italicized per the style target; additionally, some text in slide 38 appears to have unintended formatting changes with 'Advance d' split awkwardly, and the 'Note:' text in slide 39 appears partially cut off or altered compared to ground truth. | The prediction incorrectly italicizes sub-bullet/indented text (e.g., 'Justifies employee's ability...', 'Evaluates if employee demonstrates...', 'OR') on slide 41, which should remain non-italic per the ground truth; it also incorrectly italicizes table content on slides 53, 60, and 64 (e.g., 'Initial Work Planning', 'Interim Review', 'Final Appraisal', signature labels) that are not main content boxes, while failing to italicize the main paragraph text on slide 62 that should be italicized.",kimi-k2.6 (median of 3),638.045,
